sep=,
Time,x-Position,y-Position,Speed
0,13,4,150.2254
0.02,13,4,0
0.04,13,4,0.006001654
0.06,13,4,0
0.08,13,4,0
0.09999999,13,4,0
0.12,13,4,0
0.14,13,4,0
0.16,13,4,0.07434713
0.18,13,4,0.08818346
0.2,13,4,0.0488699
0.22,13,4,0.05420171
0.24,13,4,0.05977761
0.26,13,4,0.06143267
0.28,13,4,0.1415667
0.3,13,4,0.07210699
0.32,13,4,0.07972692
0.34,13,4,0.0840218
0.36,13,4,0.0882687
0.38,13,4,0.1892995
0.4,13,4,0.1010425
0.42,13,4,0.1053001
0.44,13,4,0.1095619
0.46,13,4,0.1138163
0.48,13,4,0.1180739
0.5,13,4,0.2489258
0.52,13,4,0.1308551
0.54,13,4,0.1357202
0.56,13,4,0.1387564
0.58,13,4,0.1436289
0.6,13,4,0.3016685
0.62,13,4,0.1547774
0.64,13,4,0.1606496
0.66,13,4,0.1649221
0.68,13,4,0.1691839
0.7,13,4,0.3511267
0.72,13,4,0.1819577
0.74,13,4,0.1862046
0.76,13,4,0.1909364
0.78,13,4,0.1962715
0.8,13,4,0.1969823
0.82,13,4,0.412326
0.84,13,4,0.2101931
0.86,13,4,0.2218191
0.88,13,4,0.215884
0.9,13,4,0.2261661
0.92,13,4,0.4592297
0.94,13,4,0.2464853
0.96,13,4,0.2367701
0.98,13,4,0.2410245
1,13,4,0.2500843
1.02,13,4,0.2661351
1.04,13,4,0.5111912
1.06,13,4,0.2690488
1.08,13,4,0.2679308
1.1,13,4,0.2757576
1.12,13,4,0.2798009
1.14,13,4,0.5725494
1.16,13,4,0.2926674
1.18,13,4,0.3118356
1.2,13,4,0.2959072
1.22,13,4,0.2989211
1.24,13,5,0.6207126
1.26,13,5,0.3180669
1.28,13,5,0.3366574
1.3,13,5,0.3125464
1.32,13,5,0.3309962
1.34,13,5,0.3391043
1.36,13,5,0.6795535
1.38,13,5,0.3518376
1.4,13,5,0.3483644
1.42,13,5,0.3565471
1.44,13,5,0.3638227
1.46,13,5,0.7313702
1.48,13,5,0.3757003
1.5,13,5,0.3757226
1.52,13,5,0.3821021
1.54,13,5,0.3863639
1.56,13,5,0.7854866
1.58,13,5,0.3991227
1.6,13,5,0.4033953
1.62,13,5,0.4076496
1.64,13,5,0.411904
1.66,13,5,0.4161765
1.68,13,5,0.8451012
1.7,13,5,0.4302239
1.72,13,5,0.4319386
1.74,13,5,0.4460413
1.76,13,5,0.4331194
1.78,13,5,0.8962038
1.8,13,5,0.4544904
1.82,13,5,0.4587448
1.84,13,5,0.4630173
1.86,13,5,0.4672642
1.88,13,6,0.9473096
1.9,13,6,0.4800305
1.92,13,6,0.4976363
1.94,12,6,0.4752284
1.96,12,6,0.4928267
1.98,12,6,0.4970587
2,12,6,1.014778
2.02,12,6,0.502009
2.04,12,6,0.5141124
2.06,12,6,0.5183668
2.08,12,6,0.5226212
2.1,12,6,1.057266
2.12,12,6,0.5429987
2.14,12,6,0.5284813
2.16,12,6,0.5403858
2.18,12,6,0.5441247
2.2,12,6,1.099552
2.22,12,6,0.5528305
2.24,12,6,0.5689527
2.26,12,6,0.5490116
2.28,12,6,0.5637739
2.3,12,6,0.5668532
2.32,12,6,1.14291
2.34,12,6,0.5856526
2.36,12,6,0.5690629
2.38,12,7,0.5816297
2.4,12,7,0.5913974
2.42,12,7,1.17107
2.44,12,7,0.5902346
2.46,12,7,0.594237
2.48,12,7,0.5964068
2.5,12,7,0.5135726
