sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,911,368,,
0.02,588,368,,
0.04,588,368,,
0.06,588,368,,
0.08,588,368,,
0.09999999,588,368,,
0.12,588,368,,
0.14,588,368,,
0.16,588,368,,
0.18,588,368,,
0.2,588,368,,
0.22,588,368,,
0.24,586,368,,
0.26,585,368,,
0.28,584,368,,
0.3,583,367,,
0.32,582,367,,
0.34,579,367,,
0.36,578,366,,
0.38,577,366,,
0.4,575,366,,
0.42,574,366,,
0.44,563,362,Wall_642_331,
0.46,558,361,,
0.48,555,360,,
0.5,552,359,,
0.52,549,358,,
0.54,546,358,,
0.56,541,356,,
0.58,537,355,,
0.6,534,354,,
0.62,531,353,,
0.64,527,352,,
0.66,521,351,,
0.68,517,350,,
0.7,513,349,,
0.72,509,348,,
0.74,506,347,,
0.76,502,346,,
0.78,495,344,,
0.8,490,343,,
0.82,486,342,,
0.84,482,341,,
0.86,477,340,,
0.88,469,338,,
0.9,465,337,,
0.92,460,336,,
0.94,456,335,,
0.96,451,334,,
0.98,446,333,,
1,437,331,,
1.02,432,330,,
1.04,427,328,,
1.06,422,327,,
1.08,417,326,,
1.1,407,324,,
1.12,402,323,,
1.14,396,322,,
1.16,391,321,,
1.18,385,319,,
1.2,374,317,,
1.22,368,316,,
1.24,362,315,,
1.26,357,314,,
1.28,350,313,,
1.3,344,311,,
1.32,333,310,,
1.34,326,310,,
1.36,320,310,,
1.38,314,310,,
1.4,307,310,,
1.42,294,310,,
1.44,291,310,Wall_333_323,
1.46,287,310,,
1.48,285,310,,
1.5,284,310,,
1.52,284,310,,
1.54,278,310,,
1.56,279,310,,
1.58,281,310,,
1.6,282,310,,
1.62,282,310,,
1.64,275,310,,
1.66,278,310,,
1.68,279,310,,
1.7,280,310,,
1.72,281,310,,
1.74,274,310,,
1.76,268,310,,
1.78,261,309,,
1.8,255,308,,
1.82,249,307,,
1.84,236,305,,
1.86,229,303,,
1.88,223,302,,
1.9,217,300,,
1.92,211,299,,
1.94,206,297,,
1.96,193,295,,
1.98,187,294,,
2,182,292,,
2.02,176,290,,
2.04,171,289,,
2.06,163,288,,
2.08,154,291,Wall_333_323,
2.1,150,293,,
2.12,147,294,,
2.14,145,295,,
2.16,141,296,,
2.18,139,297,,
2.2,137,298,,
2.22,136,298,,
2.24,134,299,,
2.26,132,300,,
2.28,129,301,,
2.3,127,302,,
2.32,126,302,,
2.34,124,303,,
2.36,123,303,,
2.38,120,304,,
