sep=,
Time,x-Position,y-Position,Collisionx,Collisiony
0,903,542,0,0
0.02,903,542,0,0
0.04,903,542,0,0
0.06,903,542,0,0
0.08,903,542,0,0
0.09999999,903,542,0,0
0.12,903,542,0,0
0.14,903,542,0,0
0.16,903,542,0,0
0.18,903,542,0,0
0.2,903,542,0,0
0.22,903,542,0,0
0.24,903,542,0,0
0.26,903,542,0,0
0.28,903,542,0,0
0.3,903,542,0,0
0.32,903,542,0,0
0.34,903,542,0,0
0.36,903,543,0,0
0.38,903,543,0,0
0.4,902,544,0,0
0.42,901,545,0,0
0.44,901,546,0,0
0.46,900,547,0,0
0.48,900,547,0,0
0.5,899,549,0,0
0.52,899,550,0,0
0.54,898,551,0,0
0.56,898,551,0,0
0.58,897,553,0,0
0.6,896,554,0,0
0.62,896,555,0,0
0.64,895,556,0,0
0.66,895,557,0,0
0.68,893,559,0,0
0.7,893,560,0,0
0.72,892,562,0,0
0.74,892,563,0,0
0.76,891,564,0,0
0.78,890,566,0,0
0.8,889,568,0,0
0.82,888,569,0,0
0.84,887,570,0,0
0.86,887,572,0,0
0.88,885,574,0,0
0.9,884,576,0,0
0.92,884,577,0,0
0.94,883,579,0,0
0.96,882,580,0,0
0.98,880,583,0,0
1,879,585,0,0
1.02,878,587,0,0
1.04,878,588,0,0
1.06,877,590,0,0
1.08,875,593,0,0
1.1,874,595,0,0
1.12,873,597,0,0
1.14,872,599,0,0
1.16,870,602,0,0
1.18,869,604,0,0
1.2,868,606,0,0
1.22,867,608,0,0
1.24,866,610,0,0
1.26,863,614,0,0
1.28,862,616,0,0
1.3,861,618,0,0
1.32,860,620,0,0
1.34,859,622,0,0
1.36,856,626,0,0
1.38,855,629,0,0
1.4,854,631,0,0
1.42,853,633,0,0
1.44,851,635,0,0
1.46,849,640,0,0
1.48,848,642,0,0
1.5,846,645,0,0
1.52,845,647,0,0
1.54,844,650,0,0
1.56,841,654,0,0
1.58,840,657,0,0
1.6,838,660,0,0
1.62,837,662,0,0
1.64,834,667,0,0
1.66,832,670,0,0
1.68,831,673,0,0
1.7,829,675,0,0
1.72,828,678,0,0
1.74,825,683,0,0
1.76,823,686,0,0
1.78,822,689,0,0
1.8,820,692,0,0
1.82,819,695,0,0
1.84,815,701,0,0
1.86,814,704,0,0
1.88,812,707,0,0
1.9,811,710,0,0
1.92,809,713,0,0
1.94,805,719,0,0
1.96,804,722,0,0
1.98,802,725,0,0
2,800,728,0,0
2.02,798,731,0,0
2.04,795,738,0,0
2.06,793,741,0,0
2.08,791,744,0,0
2.1,789,748,0,0
2.12,788,751,0,0
2.14,784,757,0,0
2.16,782,761,0,0
2.18,781,764,0,0
2.2,779,767,0,0
2.22,775,774,0,0
2.24,773,777,0,0
2.26,772,780,0,0
2.28,770,784,0,0
2.3,768,787,0,0
2.32,764,793,0,0
2.34,763,796,687,770
2.36,763,799,762,870
2.38,761,801,0,0
2.4,761,801,0,0
2.42,758,805,0,0
2.44,759,808,0,0
2.46,759,812,0,0
2.48,757,815,0,0
2.5,755,818,0,0
2.52,751,824,0,0
2.54,749,827,0,0
2.56,748,831,0,0
2.58,746,834,0,0
2.6,744,837,0,0
2.62,728,843,762,870
2.64,724,846,0,0
2.66,721,849,0,0
2.68,718,852,0,0
2.7,714,855,0,0
2.72,708,861,0,0
2.74,704,864,0,0
2.76,701,867,0,0
2.78,697,870,0,0
2.8,691,876,0,0
2.82,687,879,0,0
2.84,683,882,0,0
2.86,680,884,0,0
