sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1325,813,,0,0,0.006001517
0.06,1325,813,,0,0,0
0.08,1325,813,,0,0,0
0.09999999,1325,813,,0,0,0
0.12,1325,813,,0,0,0
0.14,1325,813,,0,0,0
0.16,1325,813,,0,0,0
0.18,1325,813,,0,0,0
0.2,1325,813,,0,0,0
0.22,1325,813,,0,0,0
0.24,1325,813,,0,0,0
0.26,1325,813,,0,0,0
0.28,1325,813,,0,0,0
0.3,1324,814,,0,0,0.1588672
0.32,1324,814,,0,0,0.0774318
0.34,1323,816,,0,0,0.1686041
0.36,1322,816,,0,0,0.08921857
0.38,1322,817,,0,0,0.09445139
0.4,1321,818,,0,0,0.1014643
0.42,1321,819,,0,0,0.1002207
0.44,1320,821,,0,0,0.2206966
0.46,1319,822,,0,0,0.115712
0.48,1318,823,,0,0,0.12173
0.5,1317,824,,0,0,0.1222478
0.52,1317,825,,0,0,0.1278996
0.54,1316,826,,0,0,0.1317526
0.56,1314,828,,0,0,0.2783344
0.58,1314,829,,0,0,0.1468906
0.6,1313,831,,0,0,0.1484709
0.62,1312,832,,0,0,0.1575956
0.64,1311,833,,0,0,0.1547994
0.66,1309,836,,0,0,0.3303874
0.68,1308,837,,0,0,0.1701513
0.7,1307,839,,0,0,0.1753546
0.72,1306,840,,0,0,0.1796289
0.74,1305,842,,0,0,0.183882
0.76,1303,845,,0,0,0.3834587
0.78,1302,846,,0,0,0.1937275
0.8,1301,848,,0,0,0.2009095
0.82,1300,850,,0,0,0.205169
0.84,1298,852,,0,0,0.2127023
0.86,1296,855,,0,0,0.4285185
0.88,1295,857,,0,0,0.2220716
0.9,1293,859,,0,0,0.2264411
0.92,1292,861,,0,0,0.2411165
0.94,1291,863,,0,0,0.2245677
0.96,1289,865,,0,0,0.2392494
0.98,1287,869,,0,0,0.4927947
1,1285,871,,0,0,0.2504663
1.02,1284,873,,0,0,0.257151
1.04,1282,875,,0,0,0.2596478
1.06,1281,877,,0,0,0.2661737
1.08,1278,882,,0,0,0.5409698
1.1,1276,884,,0,0,0.2882781
1.12,1275,886,,0,0,0.2712091
1.14,1273,889,,0,0,0.2859816
1.16,1271,891,,0,0,0.2903385
1.18,1268,896,,0,0,0.5934662
1.2,1266,898,,0,0,0.30747
1.22,1265,901,,0,0,0.3030004
1.24,1263,904,,0,0,0.3116298
1.26,1261,906,,0,0,0.3158893
1.28,1259,909,,0,0,0.3268464
1.3,1256,914,,0,0,0.646364
1.32,1254,917,,0,0,0.3388167
1.34,1252,920,,0,0,0.3350053
1.36,1250,923,,0,0,0.3460513
1.38,1248,925,,0,0,0.3373686
1.4,1244,931,,0,0,0.704176
1.42,1242,934,,0,0,0.358472
1.44,1240,937,,0,0,0.3627252
1.46,1238,940,,0,0,0.371071
1.48,1236,943,,0,0,0.3725838
1.5,1234,946,,0,0,0.3747463
1.52,1229,953,,0,0,0.7591265
1.54,1227,956,,0,0,0.3905128
1.56,1225,959,,0,0,0.3903074
1.58,1223,962,,0,0,0.3967867
1.6,1220,966,,0,0,0.4010568
1.62,1216,973,,0,0,0.81489
1.64,1213,976,,0,0,0.4186199
1.66,1211,979,,0,0,0.4132914
1.68,1209,983,,0,0,0.422346
1.7,1206,986,,0,0,0.4295173
1.72,1202,994,,0,0,0.8630672
1.74,1199,997,,0,0,0.4430449
1.76,1196,1001,,0,0,0.4581198
1.78,1194,1005,,0,0,0.4297618
1.8,1191,1008,,0,0,0.4550574
1.82,1189,1012,,0,0,0.454232
1.84,1184,1020,,0,0,0.9248759
1.86,1181,1024,,0,0,0.469188
1.88,1178,1028,,0,0,0.4751086
1.9,1176,1032,,0,0,0.4760353
1.92,1173,1036,,0,0,0.4819601
1.94,1168,1044,,0,0,0.9767137
1.96,1165,1048,,0,0,0.4947323
1.98,1162,1052,,0,0,0.4992563
2,1159,1057,,0,0,0.5734481
2.02,1156,1061,,0,0,0.515135
2.04,1153,1065,,0,0,0.5053839
2.06,1147,1074,,0,0,1.035244
2.08,1144,1078,,0,0,0.5186007
2.1,1141,1082,,0,0,0.5186282
2.12,1138,1087,,0,0,0.5349432
2.14,1135,1091,,0,0,0.5173056
2.16,1130,1099,,0,0,1.027112
2.18,1127,1104,,0,0,0.5287029
2.2,1124,1108,,0,0,0.5039574
2.22,1121,1112,,0,0,0.5183045
2.24,1118,1116,,0,0,0.518607
2.26,1115,1121,,0,0,0.5186176
2.28,1109,1129,,0,0,1.037345
2.3,1106,1134,,0,0,0.5185076
2.32,1103,1138,,0,0,0.5275496
2.34,1101,1142,,0,0,0.5096857
2.36,1098,1147,,0,0,0.5194916
2.38,1092,1155,,0,0,1.041861
2.4,1089,1159,,0,0,0.5131137
2.42,1086,1164,,0,0,0.524913
2.44,1083,1168,,0,0,0.512318
2.46,1080,1172,,0,0,0.5186176
2.48,1074,1181,,0,0,1.037235
2.5,1071,1185,,0,0,0.5405847
2.52,1069,1189,,0,0,0.49664
2.54,1066,1194,,0,0,0.5186176
2.56,1063,1198,,0,0,0.5186176
2.58,1060,1202,,0,0,0.519024
2.6,1054,1211,,0,0,1.036818
2.62,1051,1215,,0,0,0.5285209
2.64,1048,1219,,0,0,0.5087312
2.66,1045,1224,,0,0,0.5224351
2.68,1042,1228,,0,0,0.5148108
2.7,1037,1237,,0,0,1.037225
2.72,1034,1241,,0,0,0.518607
2.74,1031,1245,,0,0,0.5377173
2.76,1028,1250,,0,0,0.5033479
2.78,1025,1254,,0,0,0.5322134
2.8,1019,1262,,0,0,1.019822
2.82,1016,1267,,0,0,0.5186176
2.84,1013,1271,,0,0,0.518607
2.86,1010,1275,,0,0,0.5361896
2.88,1007,1280,,0,0,0.5117467
2.9,1005,1284,,0,0,0.5079229
2.92,999,1292,,0,0,1.037252
2.94,995,1295,,1050,1354,0.385858
2.96,992,1298,,0,0,0.4981849
2.98,989,1302,,0,0,0.5068995
3,986,1306,,0,0,0.502725
3.02,980,1315,,0,0,1.0437
3.04,977,1319,,0,0,0.4855206
3.06,975,1323,,0,0,0.5010225
3.08,972,1327,,0,0,0.5042827
3.1,969,1331,,0,0,0.5102346
3.12,964,1340,,0,0,1.011618
3.14,961,1345,,0,0,0.5072458
3.16,959,1349,,0,0,0.497274
3.18,956,1353,,0,0,0.5142779
3.2,954,1358,,0,0,0.4918126
3.22,951,1362,,0,0,0.4977803
3.24,947,1371,,0,0,1.013951
3.26,945,1375,,0,0,0.4998941
3.28,942,1380,,0,0,0.4998829
3.3,940,1384,,0,0,0.5014197
3.32,938,1389,,0,0,0.4977687
3.34,934,1398,,0,0,1.009928
3.36,932,1403,,0,0,0.5174579
3.38,929,1407,,0,0,0.4935953
3.4,927,1412,,0,0,0.4934868
3.42,926,1416,,0,0,0.487782
3.44,924,1421,,0,0,0.4947624
3.46,920,1430,,0,0,1.008297
3.48,918,1435,,0,0,0.496595
3.5,917,1440,,855,1450,0.5111799
3.52,916,1444,,0,0,0.4062699
3.54,916,1448,,0,0,0.4207985
3.56,914,1457,,0,0,0.9317282
3.58,915,1461,,0,0,0.3766435
3.6,914,1465,,0,0,0.4145296
3.62,914,1469,,0,0,0.4407302
3.64,914,1474,,0,0,0.4484134
3.66,913,1483,,0,0,0.9635094
3.68,914,1488,,0,0,0.4608376
3.7,914,1493,,0,0,0.480048
3.72,915,1497,,820,1601,0.4343855
3.74,915,1502,,0,0,0.557913
3.76,915,1508,,0,0,0.5690786
3.78,913,1518,,0,0,1.030577
3.8,912,1523,,0,0,0.5053459
3.82,911,1528,,0,0,0.5054839
3.84,910,1533,,0,0,0.5041412
3.86,909,1538,,0,0,0.5028293
3.88,906,1548,,0,0,1.014803
