sep=,
Time,x-Position,y-Position,Distance,Collision
0,87,14,0.7583199,
0.02,87,14,0.7582694,
0.04,87,14,0.7638134,
0.06,87,14,0.7638134,
0.08,87,14,0.7638134,
0.09999999,87,14,0.7638134,
0.12,87,14,0.7638134,
0.14,87,14,0.7638134,
0.16,87,14,0.7638134,
0.18,87,14,0.7638134,
0.2,87,14,0.7638134,
0.22,87,14,0.7638134,
0.24,87,14,0.7638134,
0.26,87,14,0.7638134,
0.28,87,14,0.7638134,
0.3,87,14,0.7638134,
0.32,87,14,0.7638134,
0.34,87,14,0.7638134,
0.36,87,14,0.8712093,
0.38,87,14,0.8712093,
0.4,87,14,0.8712093,
0.42,87,14,1.158199,
0.44,87,14,1.292505,
0.46,87,15,1.396743,
0.48,87,15,1.503205,
0.5,87,15,1.727428,
0.52,87,15,1.845003,
0.54,87,15,1.966809,
0.56,87,15,2.092397,
0.58,87,15,2.221758,
0.6,87,15,2.495807,
0.62,87,15,2.633844,
0.64,87,15,2.780023,
0.66,87,16,2.935837,
0.68,86,16,3.116961,
0.7,86,16,3.276742,
0.72,86,16,3.610178,
0.74,86,16,3.789149,
0.76,86,16,3.957692,
0.78,86,16,4.138299,
0.8,86,17,4.511848,
0.82,86,17,4.705343,
0.84,86,17,4.90174,
0.86,86,17,5.102793,
0.88,86,17,5.363421,
0.9,86,17,5.573657,
0.92,85,18,5.989181,
0.94,85,18,6.213447,
0.96,85,18,6.437756,
0.98,85,18,6.667474,
1,85,18,6.901573,
1.02,85,18,7.230982,
1.04,85,19,7.474644,
1.06,85,19,7.722291,
1.08,85,19,8.063285,
1.1,84,19,8.607049,
1.12,84,20,8.858337,
1.14,84,20,8.858337,
1.16,84,20,9.275263,
1.18,84,20,9.677282,
1.2,84,20,9.970319,
1.22,84,21,10.40982,
1.24,84,21,10.70737,
1.26,83,21,11.03982,
1.28,83,21,11.3654,
1.3,83,22,11.85897,
1.32,83,22,12.19422,
1.34,83,22,12.56222,
1.36,83,22,13.20847,
1.38,83,22,13.20847,
1.4,82,23,13.68095,
1.42,82,23,13.68095,
1.44,82,23,14.54157,
1.46,82,23,14.54157,
1.48,82,24,15.3111,
1.5,82,24,15.3111,
1.52,81,25,16.36457,
1.54,81,25,16.36457,
1.56,81,25,16.36457,
1.58,81,25,17.50311,
1.6,81,25,17.50311,
1.62,81,25,17.50311,
1.64,80,26,19.22154,
1.66,80,26,19.22154,
1.68,80,26,19.22154,
1.7,80,26,19.22154,
1.72,80,26,19.22154,
1.74,80,28,16.30069,
1.76,80,28,16.30069,
1.78,80,28,16.30069,
1.8,80,28,16.30069,
1.82,80,28,16.30069,
1.84,80,28,16.30069,
1.86,78,30,12.91307,
1.88,78,30,12.91307,
1.9,78,30,12.91307,
1.92,78,30,12.91307,
1.94,78,30,12.91307,
1.96,78,30,12.91307,
1.98,78,30,12.91307,
2,78,30,12.91307,
2.02,77,33,9.253427,
2.04,77,33,9.253427,
2.06,77,33,9.253427,
2.08,77,33,9.253427,
2.1,77,33,9.253427,
2.12,77,33,9.253427,
2.14,77,33,9.253427,
2.16,75,35,0,
2.18,75,35,0,
2.2,75,35,0,
2.22,75,35,0,
2.24,74,37,0,
2.26,74,37,0,
2.28,74,37,0,
2.3,74,38,0,
2.32,74,38,0,
2.34,74,38,0,
2.36,73,39,0,
2.38,73,40,0,
2.4,73,40,0,
2.42,72,41,0,
2.44,72,41,0,
2.46,72,41,0,
2.48,72,42,0,
2.5,72,42,0,
2.52,71,43,0,
2.54,71,43,0,
2.56,71,44,0,
2.58,71,44,0,
2.6,70,44,0.5681964,
2.62,70,45,0.4271762,
2.64,70,45,0.2809917,
2.66,70,45,0.004035418,
2.68,70,46,0,Wall_62_43
2.7,69,46,0,Wall_58_53
2.72,69,47,0,
2.74,69,47,0,
2.76,69,47,0.3082926,
2.78,69,48,0.787506,
2.8,68,48,1.74612,
2.82,68,48,2.202408,
