sep=,
Time,x-Position,y-Position,Collision,Collisionx,Collisiony
2.06,7,7,,0,0
2.08,7,7,,0,0
2.1,7,7,,0,0
2.12,7,7,,0,0
2.14,7,7,,0,0
2.16,7,7,,0,0
2.18,7,7,,0,0
2.2,7,7,,0,0
2.22,7,7,,0,0
2.24,7,7,,0,0
2.26,7,7,,0,0
2.28,7,7,,0,0
2.3,7,7,,0,0
2.32,7,7,,0,0
2.34,7,7,Wall_06_07,6,7
2.36,7,8,Wall_06_08,6,8
2.38,7,8,,0,0
2.4,7,8,,0,0
2.42,7,8,,0,0
2.44,7,8,,0,0
2.46,7,8,,0,0
2.48,7,8,,0,0
2.5,7,8,,0,0
2.52,7,8,,0,0
2.54,7,8,,0,0
2.56,7,8,,0,0
2.58,7,8,,0,0
2.6,7,8,,0,0
2.62,7,8,,0,0
2.64,7,8,,0,0
2.66,7,8,,0,0
2.68,7,8,,0,0
2.7,7,8,,0,0
2.72,7,8,,0,0
2.74,7,8,,0,0
2.76,7,8,,0,0
2.78,7,8,,0,0
2.8,7,8,,0,0
2.82,7,8,,0,0
2.84,7,8,,0,0
2.86,7,8,,0,0
2.88,7,8,,0,0
2.9,6,8,,0,0
2.92,6,9,,0,0
2.94,6,9,,0,0
2.96,6,9,,0,0
2.98,6,9,,0,0
3,6,9,,0,0
3.02,6,9,,0,0
3.04,6,9,,0,0
3.06,6,9,,0,0
3.08,6,9,,0,0
3.1,6,9,,0,0
3.12,6,9,,0,0
3.14,6,9,,0,0
3.16,6,9,,0,0
3.18,6,9,,0,0
3.2,6,9,,0,0
3.22,6,9,,0,0
3.24,6,9,,0,0
3.26,6,9,,0,0
3.28,6,9,,0,0
3.3,6,9,,0,0
3.32,6,9,,0,0
3.34,6,9,,0,0
3.36,6,9,,0,0
3.38,6,9,,0,0
3.4,6,9,,0,0
3.42,6,9,,0,0
3.44,6,9,,0,0
3.46,6,9,,0,0
3.48,6,9,,0,0
3.5,5,9,,0,0
3.52,5,9,,0,0
3.54,5,9,,0,0
3.56,5,9,,0,0
3.58,5,9,,0,0
3.6,5,9,,0,0
3.62,5,9,,0,0
3.64,5,9,,0,0
3.66,5,9,,0,0
3.68,5,9,,0,0
3.7,5,9,,0,0
3.72,5,9,,0,0
3.74,5,9,,0,0
3.76,5,9,,0,0
3.78,5,9,,0,0
3.8,5,9,,0,0
3.82,5,9,,0,0
3.84,5,9,,0,0
