sep=,
Time,x-Position,y-Position,Collision,SplitTimes
6.24,86,662,,
6.26,86,660,,
6.28,86,658,,
6.3,86,657,,
6.32,86,655,,
6.34,86,654,,
6.36,86,652,,
6.38,86,650,,
6.4,86,648,,
6.42,86,647,,
6.44,86,645,,
6.46,86,644,,
6.48,86,641,,
6.5,86,640,,
6.52,86,638,,
6.54,86,637,,
6.56,86,635,,
6.58,86,633,,
6.6,87,631,,
6.62,87,629,,
6.64,87,627,,
6.66,87,626,,
6.68,87,624,,
6.7,89,621,,
6.72,89,619,,
6.74,90,618,,
6.76,91,616,,
6.78,91,614,,
6.8,92,613,,
6.82,93,611,,
6.84,95,608,,
6.86,96,607,,
6.88,97,605,,
6.9,99,603,,
6.92,100,602,,
6.94,104,600,Wall_250_584,
6.96,107,600,,
6.98,109,601,,
7,111,600,,
7.02,114,601,,
7.04,118,599,,
7.06,122,600,,
7.08,125,601,,
7.1,128,601,,
7.12,130,600,,
7.14,134,601,,
7.16,140,600,,
7.18,143,601,,
7.2,147,601,,
7.22,150,601,,
7.24,153,601,,
7.26,160,600,,
7.28,163,601,,
7.3,166,601,,
7.32,170,601,,
7.34,173,601,,
7.36,180,600,,
7.38,184,601,,
7.4,187,601,,
7.42,191,601,,
7.44,194,601,,
7.46,198,601,,
7.48,206,600,,
7.5,210,601,,
7.52,214,601,,
7.54,218,601,,
7.56,222,601,,
7.58,231,600,,
7.6,235,600,,
7.62,239,600,,
7.64,243,601,,
7.66,248,600,,
7.68,258,599,,
7.7,263,598,,
7.72,267,597,,
7.74,273,596,,
7.76,277,596,,
7.78,282,595,,
7.8,292,593,,
7.82,297,592,,
7.84,301,591,,
7.86,306,590,,
7.88,310,589,,
7.9,319,587,,
7.92,324,586,,
7.94,328,585,,
7.96,332,584,,
7.98,337,583,,
8,345,580,,
8.02,349,579,,
8.04,353,578,,
8.059999,357,577,,
8.08,361,576,,
8.099999,364,574,,
8.12,372,572,,
8.139999,375,571,,
8.16,379,569,,
8.179999,382,568,,
8.2,386,567,,
8.22,393,564,,
8.24,396,563,,
8.26,399,562,,
8.28,402,561,,
8.3,405,559,,
8.32,408,558,,
8.34,413,555,,
8.36,416,554,,
8.38,418,553,,
8.4,421,552,,
8.42,423,551,,
8.44,428,548,,
8.46,431,546,,
8.48,433,545,,
8.5,435,544,,
8.52,437,543,,
8.54,441,540,,
8.559999,443,539,,
8.58,444,538,Wall_500_500,
8.599999,447,537,,
8.62,449,537,,
8.639999,451,537,,
8.66,455,535,,
8.679999,459,536,,
8.7,461,536,,
8.72,464,535,,
8.74,466,535,,
8.76,469,535,,
8.78,470,535,,
8.8,472,535,,
8.82,473,535,,
8.84,474,535,,
8.86,476,535,,
8.88,478,535,,
8.9,479,535,,
8.92,480,535,,
8.94,480,535,,
8.96,481,535,,
8.98,482,535,,
9,482,535,,
9.02,482,535,,
9.04,483,535,,
9.059999,483,535,,
9.08,482,535,,
9.099999,482,535,,
9.12,481,535,,
9.139999,481,535,,
9.16,480,535,,
9.179999,479,535,,
9.2,478,535,,
9.22,476,535,,
9.24,475,535,,
9.26,474,535,,
9.28,472,535,,
9.3,471,535,,
9.32,468,535,,
9.34,467,535,,
9.36,465,535,,
9.38,463,535,,
9.4,461,535,,
9.42,459,535,,
9.44,456,535,,
9.46,454,535,,
9.48,451,535,,
9.5,449,536,,
9.52,447,536,,
9.54,442,535,,
9.559999,440,535,,
9.58,437,536,,
9.599999,434,536,,
9.62,432,536,Wall_393_468,
9.639999,428,535,,
9.66,424,535,,
9.679999,421,536,,
9.7,418,536,,
9.719999,415,536,,
9.74,412,536,,
9.76,405,535,,
9.78,399,535,,
9.8,395,537,,
9.82,392,537,,
9.84,388,537,,
9.86,382,536,,
9.88,378,537,,
9.9,375,538,,
9.92,372,538,,
9.94,368,538,,
9.96,362,537,,
9.98,358,538,,
10,355,538,,
10.02,352,538,,
10.04,349,538,,
10.06,345,538,,
10.08,338,537,,
10.1,335,538,,
10.12,331,538,,
10.14,328,538,,
10.16,324,538,,
10.18,316,537,,
10.2,312,538,,
10.22,308,537,,
10.24,304,537,,
10.26,300,537,,
10.28,291,536,,
10.3,287,537,,
10.32,283,537,,
10.34,278,537,,
10.36,274,537,,
10.38,269,537,,
10.4,259,535,,
10.42,255,536,,
10.44,250,536,,
10.46,245,536,,
10.48,240,535,,
10.5,229,534,,
10.52,223,534,,
10.54,217,533,,
10.56,211,532,,
10.58,205,532,,
10.6,194,530,,
10.62,189,529,,
10.64,183,528,,
10.66,178,528,,
10.68,173,527,,
10.7,167,526,,
10.72,157,524,,
10.74,152,523,,
10.76,147,522,,
10.78,142,522,,
10.8,137,521,,
10.82,128,518,Wall_106_531,
10.84,131,519,,
10.86,132,518,,
10.88,132,518,,
10.9,132,518,,
10.92,132,517,,
10.94,131,517,,
10.96,132,517,,
10.98,133,517,,
11,134,517,,
11.02,134,517,,
11.04,134,516,,
11.06,136,516,,
11.08,137,516,,
11.1,137,516,,
11.12,138,515,,
11.14,138,515,,
11.16,140,515,,
11.18,141,514,,
11.2,142,514,,
11.22,143,514,,
11.24,144,513,,
11.26,146,512,,
11.28,147,512,,
11.3,148,512,,
11.32,150,511,,
11.34,151,511,,
11.36,152,509,,
11.38,155,509,,
11.4,157,509,,
11.42,158,508,,
11.44,160,508,,
11.46,162,506,,
11.48,165,506,,
11.5,166,505,,
11.52,168,504,,
11.54,170,504,,
11.56,172,503,,
11.58,175,501,,
11.6,178,501,,
11.62,180,500,,
11.64,182,499,,
11.66,185,499,,
11.68,188,496,,
11.7,191,496,,
11.72,194,495,,
11.74,196,494,,
11.76,199,493,,
11.78,202,491,,
11.8,206,490,,
11.82,209,489,,
11.84,212,488,,
11.86,215,487,,
11.88,217,486,,
11.9,221,484,,
11.92,226,483,,
11.94,229,482,,
11.96,232,481,,
11.98,235,480,,
12,239,477,,
12.02,244,476,Wall_166_437,
12.04,248,475,Wall_166_437,
12.06,251,474,,
12.08,255,472,,
12.1,261,469,,
12.12,268,467,,
12.14,271,465,,
12.16,273,462,,
12.18,274,460,,
12.2,275,457,,
12.22,276,452,,
12.24,277,449,,
12.26,278,447,,
12.28,279,444,,
12.3,280,441,,
12.32,281,436,,
12.34,282,433,,
12.36,283,430,,
12.38,284,427,,
12.4,284,424,,
12.42,285,419,,
12.44,286,416,,
12.46,287,413,,
12.48,288,410,,
12.5,289,407,,
12.52,289,404,,
12.54,290,397,,
12.56,291,394,,
12.58,292,391,,
12.6,292,388,,
12.62,293,385,,
12.64,294,378,,
12.66,294,375,,
12.68,295,372,,
12.7,295,368,,
12.72,296,365,,
12.74,296,358,,
12.76,297,355,,
12.78,297,351,,
12.8,298,347,,
12.82,298,344,,
12.84,299,340,,
12.86,299,333,,
12.88,299,330,,
12.9,300,326,,
12.92,300,322,,
12.94,300,319,,
12.96,300,311,,
12.98,301,307,,
13,301,304,,
13.02,301,300,,
13.04,301,296,,
13.06,301,288,,
13.08,301,284,,
13.1,301,280,,
13.12,301,276,,
13.14,301,272,,
13.16,301,268,,
13.18,300,260,,
13.2,300,256,,
13.22,299,252,,
13.24,299,248,,
13.26,299,244,,
13.28,297,235,,
13.3,297,231,,
13.32,296,227,,
13.34,296,223,,
13.36,295,218,,
13.38,295,214,,
13.4,292,205,,
13.42,291,201,,
13.44,291,197,,
13.46,289,192,,
13.48,288,188,,
13.5,285,179,,
13.52,284,175,,
13.54,283,171,,
13.56,281,166,,
13.58,280,162,,
13.6,274,160,Wall_417_147,
13.62,270,160,,
13.64,267,160,,
13.66,264,160,,
13.68,261,160,,
13.7,258,160,,
13.72,253,160,,
13.74,249,160,,
13.76,243,159,,
13.78,238,158,,
13.8,231,154,,
13.82,225,146,,
13.84,221,141,,
13.86,218,137,,
13.88,214,133,,
13.9,211,129,,
13.92,206,120,,
13.94,203,116,,
