sep=,
Time,x-Position,y-Position,Collision
7,-1,7,
7.02,-1,7,
7.04,-1,7,
7.06,-1,7,
7.08,-1,7,
7.1,-1,7,
7.12,-1,7,
7.14,-1,7,
7.16,-1,7,
7.18,-1,7,
7.2,-1,7,Plane (187)
7.22,-1,7,
7.24,-1,7,
7.26,-1,7,
7.28,-1,7,
7.3,-1,7,
7.32,-1,7,
7.34,-1,7,
7.36,-1,7,
7.38,-1,7,
7.4,-1,7,
7.42,-1,7,
7.44,-1,7,
7.46,-1,7,
7.48,-1,7,
7.5,-1,7,
7.52,-1,7,
7.54,-1,7,
7.56,-1,7,
7.58,-1,7,
7.6,-1,7,
7.62,-1,7,
7.64,-1,7,
7.66,-1,7,
7.68,-1,7,
7.7,-1,7,
7.72,-1,7,
7.74,-1,7,
7.76,-1,7,
7.78,-1,7,
7.8,-1,7,
7.82,-1,7,
7.84,-1,7,
7.86,-1,7,
7.88,-1,7,
7.9,-1,7,
7.92,-1,7,
7.94,-1,7,
7.96,-1,7,
7.98,-1,7,
8,-1,7,Cube
8.02,-1,7,
8.04,-1,7,
8.059999,-1,7,
8.08,-1,7,
8.099999,-1,7,
8.12,-1,7,
8.139999,-1,7,
8.16,-1,7,
8.179999,-1,7,
8.2,-1,7,
8.22,-1,7,
8.24,-1,7,
8.26,-1,7,
8.28,-1,7,
8.3,-1,7,
8.32,-1,7,
8.34,-1,7,
8.36,-1,7,
8.38,-1,7,
8.4,-1,7,
8.42,-1,7,
8.44,-1,7,
8.46,-1,7,
8.48,-1,7,
8.5,-1,7,
8.52,-1,7,
8.54,-1,7,
8.559999,0,7,
8.58,0,7,
8.599999,0,7,
8.62,0,7,
8.639999,0,7,
8.66,0,7,
8.679999,0,7,
8.7,0,7,
8.72,0,7,
8.74,0,7,
8.76,0,7,,
8.78,0,7,,
8.8,0,7,,
8.82,0,7,Cube,
8.84,0,7,,
8.86,0,7,,
8.88,0,7,,
8.9,0,7,,
8.92,0,7,,
8.94,0,7,,
8.96,0,7,,
8.98,0,7,,
9,0,7,,
9.02,0,7,,
9.04,0,7,,
9.059999,1,7,,
9.08,1,7,,
9.099999,1,7,,
9.12,1,7,,
9.139999,1,7,,
9.16,1,7,,
9.179999,1,7,,
9.2,1,7,,
9.22,1,7,,
9.24,1,7,,
9.26,1,7,,
9.28,1,7,,
9.3,1,7,,
9.32,1,7,,
9.34,1,7,
9.36,1,7,
9.38,1,7,
9.4,1,7,Ground
9.42,1,7,
9.44,2,7,
9.46,2,7,
9.48,2,7,
9.5,2,7,
9.52,2,7,
9.54,2,7,
9.559999,2,7,
9.58,2,7,
9.599999,2,7,
9.62,2,7,Plane (175)
9.639999,2,7,
9.66,2,7,
9.679999,2,7,
9.7,2,7,
9.719999,2,7,
9.74,2,7,
9.76,2,7,
9.78,2,7,
9.8,2,6,
9.82,2,6,
9.84,2,6,
9.86,2,6,
9.88,2,6,
9.9,2,6,
9.92,2,6,
9.94,2,6,
9.96,2,6,
9.98,2,6,Plane (175)
10,2,6,
10.02,2,6,
10.04,2,6,
10.06,2,6,
10.08,2,6,
10.1,2,6,
10.12,2,6,
10.14,2,6,
10.16,2,6,
10.18,2,6,
10.2,2,6,
10.22,2,6,
10.24,2,6,
10.26,2,6,
10.28,2,6,
10.3,2,6,
10.32,2,6,
10.34,2,6,
10.36,2,5,
10.38,2,5,
10.4,2,5,,
10.42,2,5,,
10.44,2,5,Ground,
10.46,2,5,,
10.48,3,5,,
10.5,3,5,,
10.52,3,5,,
10.54,3,5,Plane (177),
10.56,3,5,,
10.58,3,5,,
10.6,3,5,,
10.62,3,5,,
10.64,3,5,,
10.66,3,5,,
10.68,3,5,,
10.7,3,5,,
10.72,3,5,,
10.74,3,5,,
10.76,3,5,Box001,
10.78,3,5,,
10.8,3,5,,
10.82,3,5,,
10.84,3,5,,
10.86,3,5,,
10.88,3,5,,
10.9,3,5,,
10.92,3,5,,
10.94,3,5,,
10.96,3,5,,
10.98,3,5,,
11,3,5,,
11.02,3,5,,
11.04,3,5,,
11.06,3,5,,
11.08,3,5,,
11.1,3,5,,
11.12,3,5,,
11.14,3,5,,
11.16,3,5,,
11.18,3,5,,
11.2,3,5,,
11.22,3,5,,
11.24,3,5,,
11.26,3,5,,
11.28,4,5,,
11.3,4,5,,
11.32,4,5,,
11.34,4,5,,
11.36,4,5,,
11.38,4,5,,
11.4,4,5,,
11.42,4,5,,
11.44,4,4,,
11.46,4,4,,
11.48,4,4,,
11.5,4,4,,
11.52,4,4,,
11.54,4,4,,
11.56,4,4,,
11.58,4,4,,
11.6,4,4,,
11.62,4,4,,
11.64,4,4,,
11.66,4,4,,
11.68,4,4,,
11.7,4,4,,
11.72,4,4,,
11.74,4,4,,
11.76,4,4,,
11.78,4,4,,
11.8,4,4,,
11.82,4,4,,
11.84,4,4,,
11.86,4,4,,
11.88,4,4,,
11.9,4,4,,
11.92,4,4,,
11.94,4,4,,
11.96,4,4,,
11.98,4,4,,
12,4,4,,
12.02,4,4,,
12.04,4,4,,
12.06,4,4,,
12.08,4,4,,
12.1,4,4,,
12.12,4,4,,
12.14,4,4,,
12.16,4,4,,
12.18,4,4,,
12.2,4,4,,
12.22,4,4,,
12.24,4,4,,
12.26,4,4,,
12.28,4,4,,
12.3,4,4,,
12.32,4,4,,
12.34,4,4,,
12.36,4,4,,
12.38,4,4,,
12.4,4,4,,
12.42,4,4,,
12.44,4,4,,
12.46,4,4,,
12.48,4,4,,
12.5,4,4,,
12.52,4,4,,
12.54,4,4,
12.56,4,4,
12.58,4,4,
12.6,4,4,
12.62,4,4,
12.64,4,5,
12.66,4,5,
12.68,4,5,
12.7,4,5,
12.72,4,5,
12.74,4,5,
12.76,4,5,
12.78,4,5,
12.8,4,5,
12.82,4,5,
12.84,4,5,
12.86,3,5,
12.88,3,5,
12.9,3,5,
12.92,3,5,
12.94,3,5,
12.96,3,5,
12.98,3,5,
13,3,5,
13.02,3,5,
13.04,3,5,
13.06,3,5,
13.08,3,5,
13.1,3,5,
13.12,3,5,
13.14,3,5,
13.16,3,5,
13.18,3,5,Box001
13.2,3,5,
13.22,3,5,
13.24,3,5,
13.26,3,5,
13.28,3,5,Plane (177)
13.3,3,5,
13.32,3,5,
13.34,3,5,
13.36,3,5,
13.38,3,5,
13.4,3,5,
13.42,3,5,
13.44,3,5,
13.46,3,5,
13.48,3,5,
13.5,3,5,
13.52,3,5,
13.54,3,5,
13.56,3,5,
13.58,3,5,
13.6,3,5,
13.62,2,6,
13.64,2,6,
