sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,461,-82,,
0.02,461,-82,,
0.04,461,-82,,
0.06,461,-82,,
0.08,461,-82,,
0.09999999,461,-82,,
0.12,461,-82,,
0.14,461,-82,,
0.16,461,-82,,
0.18,461,-81,,
0.2,461,-81,,
0.22,461,-80,,
0.24,461,-80,,
0.26,460,-79,,
0.28,460,-79,,
0.3,460,-78,,
0.32,460,-78,,
0.34,460,-77,,
0.36,459,-77,,
0.38,459,-76,,
0.4,459,-75,,
0.42,459,-74,,
0.44,458,-73,,
0.46,458,-73,,
0.48,458,-72,,
0.5,457,-70,,
0.52,457,-70,,
0.54,457,-69,,
0.56,457,-68,,
0.58,456,-67,,
0.6,456,-65,,
0.62,455,-64,,
0.64,455,-63,,
0.66,455,-62,,
0.68,454,-61,,
0.7,454,-60,,
0.72,453,-58,,
0.74,453,-57,,
0.76,453,-56,,
0.78,452,-54,,
0.8,452,-53,,
0.82,451,-50,,
0.84,451,-49,,
0.86,450,-48,,
0.88,450,-46,,
0.9,449,-45,,
0.92,448,-42,,
0.94,448,-41,,
0.96,447,-39,,
0.98,447,-38,,
1,446,-36,,
1.02,446,-35,,
1.04,445,-31,,
1.06,444,-30,,
1.08,444,-28,,
1.1,443,-26,,
1.12,443,-25,,
1.14,441,-21,,
1.16,441,-19,,
1.18,440,-17,,
1.2,440,-15,,
1.22,439,-14,,
1.24,438,-12,,
1.26,437,-8,,
1.28,436,-6,,
1.3,436,-4,,
1.32,435,-2,,
1.34,434,0,,
1.36,433,5,,
1.38,432,7,,
1.4,432,9,,
1.42,431,11,,
1.44,430,13,,
1.46,429,18,,
1.48,428,20,,
1.5,427,23,,
1.52,426,25,,
1.54,426,28,,
1.56,425,30,,
1.58,423,35,,
1.6,422,37,,
1.62,422,40,,
1.64,421,42,,
1.66,420,45,,
1.68,418,50,,
1.7,417,53,,
1.72,417,56,,
1.74,416,58,,
1.76,415,61,,
1.78,413,67,,
1.8,412,69,,
1.82,411,72,,
1.84,410,75,,
1.86,409,78,,
1.88,408,81,,
1.9,406,87,,
1.92,405,90,,
