sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1359,639,,0,0,0.008000962
0.06,1359,639,,0,0,0
0.08,1359,639,,0,0,0
0.09999999,1359,639,,0,0,0
0.12,1359,639,,0,0,0
0.14,1359,639,,0,0,0
0.16,1359,639,,0,0,0
0.18,1359,639,,0,0,0
0.2,1359,639,,0,0,0
0.22,1359,639,,0,0,0
0.24,1359,639,,0,0,0
0.26,1359,639,,0,0,0
0.28,1359,639,,0,0,0
0.3,1358,641,,0,0,0.2122925
0.32,1358,644,,0,0,0.213581
0.34,1358,645,,0,0,0.1141605
0.36,1357,646,,0,0,0.1206806
0.38,1357,647,,0,0,0.1240313
0.4,1357,648,,0,0,0.1345798
0.42,1356,650,,0,0,0.133058
0.44,1356,653,,0,0,0.295044
0.46,1355,654,,0,0,0.1500084
0.48,1355,656,,0,0,0.1596905
0.5,1355,657,,0,0,0.1689026
0.52,1354,659,,0,0,0.1675289
0.54,1354,662,,0,0,0.3631044
0.56,1353,664,,0,0,0.184135
0.58,1353,666,,0,0,0.195372
0.6,1352,668,,0,0,0.2033064
0.62,1352,670,,0,0,0.1996594
0.64,1351,674,,0,0,0.427292
0.66,1351,676,,0,0,0.2223967
0.68,1350,679,,0,0,0.2329303
0.7,1350,681,,0,0,0.2291875
0.72,1349,683,,0,0,0.2382472
0.74,1349,686,,0,0,0.2448121
0.76,1348,691,,0,0,0.5067739
0.78,1347,693,,0,0,0.2643021
0.8,1346,696,,0,0,0.265176
0.82,1346,698,,0,0,0.2732659
0.84,1345,701,,0,0,0.278942
0.86,1344,707,,0,0,0.5796993
0.88,1343,710,,0,0,0.2922081
0.9,1343,713,,0,0,0.3010313
0.92,1342,716,,0,0,0.3069109
0.94,1341,719,,0,0,0.3132274
0.96,1340,725,,0,0,0.6501736
0.98,1339,728,,0,0,0.3226985
1,1339,731,,0,0,0.3357536
1.02,1338,735,,0,0,0.3413444
1.04,1337,738,,0,0,0.3556955
1.06,1336,742,,0,0,0.3441291
1.08,1335,749,,0,0,0.7225214
1.1,1334,752,,0,0,0.3759262
1.12,1333,756,,0,0,0.3707094
1.14,1332,760,,0,0,0.3863969
1.16,1332,764,,0,0,0.3855678
1.18,1330,771,,0,0,0.7852831
1.2,1329,775,,0,0,0.4038471
1.22,1328,779,,0,0,0.4095306
1.24,1327,783,,0,0,0.4296281
1.26,1326,787,,0,0,0.4064539
1.28,1325,796,,0,0,0.8588225
1.3,1324,800,,0,0,0.4379141
1.32,1323,804,,0,0,0.443831
1.34,1322,809,,0,0,0.4490328
1.36,1321,813,,0,0,0.4549572
1.38,1320,818,,0,0,0.4606407
1.4,1318,827,,0,0,0.9481356
