sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,911,368,,
0.02,911,368,,
0.04,911,368,,
0.06,911,368,,
0.08,911,368,,
0.09999999,911,368,,
0.12,911,368,,
0.14,911,368,,
0.16,911,368,,
0.18,911,369,,
0.2,911,369,,
0.22,911,370,,
0.24,911,370,,
0.26,910,370,,
0.28,910,371,,
0.3,910,372,,
0.32,910,372,,
0.34,910,373,,
0.36,910,373,,
0.38,909,375,,
0.4,909,375,,
0.42,909,376,,
0.44,908,377,,
0.46,908,377,,
0.48,908,378,,
0.5,908,379,,
0.52,907,380,,
0.54,907,381,,
0.56,907,382,,
0.58,906,383,,
0.6,906,385,,
0.62,905,386,,
0.64,905,387,,
0.66,905,388,,
0.68,905,389,,
0.7,904,391,,
0.72,903,392,,
0.74,903,393,,
0.76,903,394,,
0.78,902,396,,
0.8,902,397,,
0.82,901,399,,
0.84,901,401,,
0.86,900,402,,
0.88,900,403,,
0.9,899,405,,
0.92,898,408,,
0.94,898,409,,
0.96,897,411,,
0.98,897,412,,
1,896,414,,
1.02,896,415,,
1.04,895,419,,
1.06,894,420,,
1.08,894,422,,
1.1,893,424,,
1.12,893,425,,
1.14,891,429,,
1.16,891,431,,
1.18,890,433,,
1.2,890,434,,
1.22,889,436,,
1.24,888,440,,
1.26,887,442,,
1.28,887,444,,
1.3,886,446,,
1.32,885,448,,
1.34,884,452,,
1.36,883,455,,
1.38,882,457,,
1.4,882,459,,
1.42,881,461,,
1.44,880,463,,
1.46,879,468,,
1.48,878,470,,
1.5,877,473,,
1.52,877,475,,
1.54,876,477,,
1.56,874,482,,
1.58,873,485,,
1.6,873,487,,
1.62,872,490,,
1.64,871,492,,
1.66,870,495,,
1.68,868,500,,
1.7,867,503,,
1.72,867,505,,
1.74,866,508,,
1.76,865,511,,
1.78,863,517,,
1.8,862,519,,
1.82,861,522,,
1.84,860,525,,
1.86,859,528,,
1.88,857,534,,
1.9,856,537,,
1.92,855,540,,
1.94,855,543,,
1.96,854,546,,
1.98,852,552,,
2,851,555,,
2.02,849,558,,
2.04,848,561,,
2.06,847,565,,
2.08,846,568,,
2.1,844,574,,
2.12,843,578,,
2.14,843,580,Wall_689_644,
2.16,846,584,,
2.18,848,588,,
2.2,846,595,,
2.22,845,599,,
2.24,844,602,,
2.26,843,606,,
2.28,842,609,,
2.3,841,613,,
2.32,838,620,,
2.34,836,623,,
2.36,835,627,,
2.38,833,630,,
2.4,832,634,,
2.42,826,640,Wall_976_581,
2.44,820,641,Wall_916_675,
2.46,815,642,,
2.48,811,644,,
2.5,807,646,,
2.52,799,651,,
2.54,794,652,,
2.56,789,654,,
2.58,784,656,,
2.6,778,658,,
2.62,772,660,,
2.64,761,665,,
2.66,755,667,,
2.68,749,669,,
2.7,744,671,,
2.72,738,673,,
2.74,727,678,,
2.76,720,680,,
2.78,714,682,,
2.8,709,684,,
2.82,703,686,,
2.84,692,691,,
2.86,685,693,,
2.88,679,695,,
2.9,673,697,,
2.92,667,699,,
2.94,661,701,,
2.96,650,707,,
2.98,643,709,,
3,638,711,,
3.02,633,714,,
3.04,629,716,,
3.06,619,721,,
