sep=,
Time,x-Position,y-Position
Time: 3.8,Position: 0,0
Time: 3.82,Position: -1,0
Time: 3.84,Position: -1,0
Time: 3.86,Position: -1,0
Time: 3.88,Position: -1,0
Time: 3.9,Position: -1,0
Time: 3.92,Position: -1,0
Time: 3.94,Position: -1,0
Time: 3.96,Position: -1,0
Time: 3.98,Position: -1,0
Time: 4,Position: -1,0
Time: 4.02,Position: -1,0
Time: 4.04,Position: -1,0
Time: 4.06,Position: -1,0
Time: 4.08,Position: -1,0
Time: 4.1,Position: -1,0
Time: 4.12,Position: -1,0
Time: 4.14,Position: -1,0
Time: 4.16,Position: -1,0
Time: 4.18,Position: -1,0
Time: 4.2,Position: -1,0
Time: 4.22,Position: -1,0
Time: 4.24,Position: -1,0
Time: 4.26,Position: -1,0
Time: 4.28,Position: -1,0
Time: 4.3,Position: -1,0
Time: 4.32,Position: -1,0
Time: 4.34,Position: -1,0
Time: 4.36,Position: -1,0
Time: 4.38,Position: -1,0
Time: 4.4,Position: -1,0
Time: 4.42,Position: -1,0
Time: 4.44,Position: -1,0
Time: 4.46,Position: -1,0
Time: 4.48,Position: -1,0
Time: 4.5,Position: -1,0
Time: 4.52,Position: -1,0
Time: 4.54,Position: -1,0
Time: 4.56,Position: -1,0
Time: 4.58,Position: -1,0
Time: 4.6,Position: -1,0
Time: 4.62,Position: -1,0
Time: 4.64,Position: -1,0
Time: 4.66,Position: -1,0
Time: 4.68,Position: -1,0
Time: 4.7,Position: -1,0
Time: 4.72,Position: -1,0
Time: 4.74,Position: -1,0
Time: 4.76,Position: -1,0
Time: 4.78,Position: -1,0
Time: 4.8,Position: -1,0
Time: 4.82,Position: -1,0
Time: 4.84,Position: -1,0
Time: 4.86,Position: -1,0
Time: 4.88,Position: -1,0
Time: 4.9,Position: -1,0
Time: 4.92,Position: -1,0
Time: 4.94,Position: -1,0
Time: 4.96,Position: -1,0
Time: 4.98,Position: -1,0
Time: 5,Position: -1,0
Time: 5.02,Position: -1,0
Time: 5.04,Position: -1,0
Time: 5.06,Position: -1,0
Time: 5.08,Position: -1,0
Time: 5.1,Position: -1,0
Time: 5.12,Position: -1,0
Time: 5.14,Position: -1,0
Time: 5.16,Position: -1,0
Time: 5.18,Position: -1,0
Time: 5.2,Position: -1,0
Time: 5.22,Position: -1,0
Time: 5.24,Position: -1,0
Time: 5.26,Position: -1,0
Time: 5.28,Position: -1,0
Time: 5.3,Position: -1,0
Time: 5.32,Position: -1,0
Time: 5.34,Position: -1,0
Time: 5.36,Position: -1,0
Time: 5.38,Position: -1,0
Time: 5.4,Position: -1,0
Time: 5.42,Position: -1,0
Time: 5.44,Position: -1,0
Time: 5.46,Position: -1,0
Time: 5.48,Position: -1,0
Time: 5.5,Position: -1,0
Time: 5.52,Position: -1,0
Time: 5.54,Position: -1,0
Time: 5.56,Position: -1,0
Time: 5.58,Position: -1,0
Time: 5.6,Position: -1,0
Time: 5.62,Position: -1,0
Time: 5.64,Position: -1,0
Time: 5.66,Position: -1,0
