sep=,
Time,x-Position,y-Position,Distance,Collision
0,10,1,2.07832,
0.02,10,1,2.078305,
0.04,10,1,2.084186,
0.06,10,1,2.084186,
0.08,10,1,2.084186,
0.09999999,10,1,2.084186,
0.12,10,1,2.084186,
0.14,10,1,2.084186,
0.16,10,1,2.084186,
0.18,10,1,2.084186,
0.2,10,1,2.084186,
0.22,10,1,2.084186,
0.24,10,1,2.084186,
0.26,10,1,2.084186,
0.28,10,1,2.084186,
0.3,10,1,2.084186,
0.32,10,1,2.084186,
0.34,10,1,2.084186,
0.36,10,1,2.255273,
0.38,10,1,2.255273,
0.4,10,1,2.450265,
0.42,10,1,2.554056,
0.44,10,1,2.768716,
0.46,10,1,2.878538,
0.48,10,1,2.994788,
0.5,10,1,3.115088,
0.52,10,1,3.239442,
0.54,10,1,3.367839,
0.56,10,1,3.570071,
0.58,10,1,3.713235,
0.6,10,1,3.998239,
0.62,10,1,4.148919,
0.64,10,1,4.304131,
0.66,10,1,4.462827,
0.68,9,1,0,
0.7,9,1,0,
0.72,9,1,0,
0.74,9,1,0,
0.76,9,1,0,
0.78,9,1,0,
0.8,9,2,0,
0.82,9,2,0,
0.84,9,2,0,
0.86,9,2,0,
0.88,9,2,0,
0.9,9,2,0,
0.92,9,2,0,
0.94,9,2,0,
0.96,9,2,0,
0.98,9,2,0,
1,9,2,0,
1.02,9,2,0,
1.04,9,2,0,
1.06,9,2,0,
1.08,9,2,0,
1.1,9,2,0,
1.12,9,2,0,
1.14,9,2,0,
1.16,9,2,0,
1.18,9,2,0,
1.2,9,2,0,
1.22,9,2,0,
1.24,9,2,0,
1.26,9,2,0,
1.28,9,2,0,
1.3,9,2,0,
1.32,9,2,0,
1.34,9,2,0,
1.36,9,2,0,
1.38,9,2,0,
1.4,9,2,0,
1.42,9,2,0,
1.44,9,2,0,
1.46,9,2,0,
1.48,9,2,0,
1.5,9,2,0,
1.52,9,2,0,
1.54,9,2,0,
1.56,9,2,0,
1.58,9,2,0,
1.6,9,2,0,
1.62,9,2,0,
1.64,9,2,0,
1.66,9,2,0,
1.68,9,3,0,
1.7,9,3,0,
1.72,9,3,0,
1.74,9,3,0,
1.76,9,3,0,
1.78,9,3,0,
1.8,9,3,0,
1.82,9,3,0,
1.84,9,3,0,
1.86,9,3,0,
1.88,9,3,0,
1.9,9,3,0,
1.92,9,3,0,
1.94,9,3,0,
1.96,9,3,0,
1.98,9,3,0,
2,9,3,0,
2.02,9,3,0,
2.04,9,3,0,
2.06,9,3,0,
2.08,9,3,0,
2.1,9,3,0,
2.12,9,3,0,
2.14,9,3,0,
2.16,9,3,0,
2.18,9,3,0,
2.2,9,3,0,
2.22,9,4,0,
2.24,9,4,0,Wall_07_04
2.26,9,4,0,
2.28,9,4,0,
2.3,9,4,0,
2.32,9,4,0,
2.34,9,4,0,
2.36,9,4,0,
2.38,9,4,0,
2.4,9,4,0,
2.42,9,4,0,
2.44,9,4,0,
2.46,9,4,0,
2.48,9,4,0,
2.5,9,4,0,
2.52,9,4,0,Wall_10_04
2.54,9,4,0,
2.56,9,4,0,Wall_10_05
2.58,9,4,0,
2.6,8,4,0,
2.62,8,4,0,
2.64,8,4,0,
2.66,8,4,0,
2.68,8,4,0,
2.7,8,4,0,
2.72,8,4,0,
2.74,8,4,0,
2.76,8,4,0,
2.78,8,4,0,
2.8,8,4,0,
2.82,8,4,0,
2.84,8,5,0,
2.86,8,5,0,
2.88,8,5,0,
2.9,7,5,0,
2.92,7,5,0,
2.94,7,5,0,
2.96,7,5,0,
2.98,7,5,0,
3,7,5,0,
3.02,7,5,0,
3.04,7,5,0,
3.06,7,5,0,
3.08,7,5,0,
3.1,7,5,0,
3.12,7,5,0,
3.14,7,5,0,
3.16,7,5,0,
3.18,6,5,0,
3.2,6,5,0,
3.22,6,5,0,
3.24,6,5,0,
3.26,6,5,0,
3.28,6,5,0,
3.3,6,5,0,
3.32,6,5,0,
3.34,6,5,0,
3.36,6,5,0,
3.38,6,5,0,
3.4,6,5,0,
3.42,6,5,0,
3.44,6,5,0,
3.46,6,5,0,
3.48,5,5,0,
3.5,5,5,0,
3.52,5,5,0,
3.54,5,5,0,
3.56,5,6,0,
3.58,5,6,0,
3.6,5,6,0,
3.62,5,6,0,
3.64,5,6,0,
3.66,5,6,0,
3.68,5,6,0,
3.7,5,6,0,
3.72,5,6,0,
3.74,4,6,12.89028,
3.76,4,6,13.52187,
3.78,4,6,13.78033,
3.8,4,6,14.03251,
3.82,4,6,14.28191,
3.84,4,6,14.53245,
3.86,4,6,14.7688,
3.88,4,6,15.36745,
3.9,4,6,15.59648,
3.92,4,6,15.8216,
3.94,4,6,16.04572,
3.96,4,6,16.58361,
3.98,4,6,16.80718,
4,3,6,0,
4.02,3,6,0,
4.04,3,6,0,
4.06,3,6,0,
4.08,3,6,0,
4.1,3,6,0,
4.12,3,6,0,
4.14,3,6,0,
4.16,3,6,0,
4.18,3,6,0,
4.2,3,6,0,
4.22,3,6,0,
4.24,2,6,0,
4.26,2,6,0,
4.28,2,6,0,
4.3,2,6,0,
4.32,2,6,0,
4.34,2,6,0,
4.36,2,6,0,
4.38,2,6,0,
4.4,2,6,0,
4.42,2,6,0,
4.44,2,6,0,
4.46,2,6,0,
4.48,2,6,0,
4.5,1,6,0,
4.52,1,6,0,
4.54,1,6,0,
4.56,1,6,0,
4.58,1,6,0,
4.6,1,6,0,
4.62,1,6,0,
4.64,1,6,0,
4.66,1,6,0,
4.68,1,6,0,
4.7,1,6,0,
4.72,1,6,0,
4.74,1,6,0,
4.76,1,6,0,
4.78,1,6,0,
4.8,0,6,0,
4.82,0,6,0,
4.84,0,6,0,
