sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,8754,2976,,
0.02,8754,2976,,
0.04,8754,2976,,
0.06,8754,2976,,
0.08,8754,2976,,
0.09999999,8754,2976,,
0.12,8754,2976,,
0.14,8754,2976,,
0.16,8754,2976,,
0.18,8754,2976,,
0.2,8754,2976,,
0.22,8754,2976,,
0.24,8754,2976,,
0.26,8754,2976,,
0.28,8754,2976,,
0.3,8754,2976,,
0.32,8754,2976,,
0.34,8754,2976,,
0.36,8754,2976,,
0.38,8754,2976,,
0.4,8754,2976,,
0.42,8754,2976,,
0.44,8754,2976,,
0.46,8754,2976,,
0.48,8754,2976,,
0.5,8754,2976,,
0.52,8754,2976,,
0.54,8754,2976,,
0.56,8754,2976,,
0.58,8754,2976,,
0.6,8754,2976,,
0.62,8754,2976,,
0.64,8754,2976,,
0.66,8754,2976,,
0.68,8754,2976,,
0.7,8754,2976,,
0.72,8754,2976,,
0.74,8754,2976,,
0.76,8754,2976,,
0.78,8754,2976,,
0.8,8754,2976,,
0.82,8754,2976,,
0.84,8754,2976,,
0.86,8754,2976,,
0.88,8754,2976,,
0.9,8754,2976,,
0.92,8754,2976,,
0.94,8754,2976,,
0.96,8754,2976,,
0.98,8754,2976,,
1,8754,2976,,
1.02,8754,2976,,
1.04,8754,2976,,
1.06,8754,2976,,
1.08,8754,2976,,
1.1,8754,2976,,
1.12,8754,2976,,
1.14,8754,2976,,
1.16,8754,2976,,
1.18,8754,2976,,
1.2,8754,2976,,
1.22,8754,2976,,
1.24,8754,2976,,
1.26,8754,2976,,
1.28,8754,2976,,
1.3,8754,2976,,
1.32,8754,2976,,
1.34,8754,2976,,
1.36,8754,2976,,
1.38,8754,2976,,
1.4,8754,2976,,
1.42,8754,2976,,
1.44,8754,2976,,
1.46,8754,2976,,
1.48,8754,2976,,
1.5,8754,2976,,
1.52,8754,2976,,
1.54,8754,2976,,
1.56,8754,2976,,
1.58,8754,2976,,
1.6,8754,2976,,
1.62,8754,2976,,
1.64,8754,2976,,
1.66,8754,2976,,
1.68,8754,2976,,
1.7,8754,2976,,
1.72,8754,2976,,
1.74,8754,2976,,
1.76,8754,2976,,
1.78,8754,2976,,
1.8,8754,2976,,
1.82,8754,2976,,
1.84,8754,2976,,
1.86,8754,2976,,
1.88,8754,2976,,
1.9,8754,2976,,
1.92,8754,2976,,
1.94,8754,2976,,
1.96,8754,2976,,
1.98,8754,2976,,
2,8754,2976,,
2.02,8754,2976,,
2.04,8754,2976,,
2.06,8754,2976,,
2.08,8754,2976,,
2.1,8754,2976,,
2.12,8754,2976,,
2.14,8754,2976,,
2.16,8754,2976,,
2.18,8754,2976,,
2.2,8754,2976,,
2.22,8754,2976,,
2.24,8754,2976,,
2.26,8754,2976,,
2.28,8754,2976,,
2.3,8754,2976,,
2.32,8754,2976,,
2.34,8754,2976,,
2.36,8754,2976,,
2.38,8754,2976,,
2.4,8754,2976,,
2.42,8754,2976,,
2.44,8754,2976,,
