sep=,
Time,x-Position,y-Position,SplitTimes,Collision
0,1005,175,,
0.02,1005,175,,
0.04,1005,175,,
0.06,1005,175,,
0.08,1005,175,,
0.09999999,1005,175,,
0.12,1005,175,,
0.14,1005,175,,
0.16,1005,176,,
0.18,1005,176,,
0.2,1004,176,,
0.22,1004,177,,
0.24,1004,177,,
0.26,1004,178,,
0.28,1004,178,,
0.3,1004,179,,
0.32,1003,180,,
0.34,1003,180,,
0.36,1003,181,,
0.38,1003,181,,
0.4,1003,182,,
0.42,1002,182,,
0.44,1002,184,,
0.46,1002,185,,
0.48,1001,185,,
0.5,1001,186,,
0.52,1001,187,,
0.54,1000,189,,
0.56,1000,189,,
0.58,1000,190,,
0.6,999,191,,
0.62,999,192,,
0.64,999,193,,
0.66,998,195,,
0.68,998,196,,
0.7,997,197,,
0.72,997,198,,
0.74,996,200,,
0.76,996,202,,
0.78,995,203,,
0.8,995,204,,
0.82,994,206,,
0.84,994,207,,
0.86,993,210,,
0.88,992,211,,
0.9,992,212,,
0.92,991,214,,
0.94,991,215,,
0.96,990,217,,
0.98,989,220,,
1,989,221,,
1.02,988,223,,
1.04,988,225,,
1.06,987,226,,
1.08,986,230,,
1.1,985,231,,
1.12,985,233,,
1.14,984,235,,
1.16,984,237,,
1.18,982,240,,
1.2,982,242,,
1.22,981,244,,
1.24,980,246,,
1.26,980,248,,
1.28,979,250,,
1.3,978,254,,
1.32,977,256,,
1.34,976,258,,
1.36,975,260,,
1.38,975,262,,
1.4,973,267,,
1.42,972,269,,
1.44,972,271,,
1.46,971,274,,
1.48,970,276,,
1.5,968,281,,
1.52,968,283,,
1.54,967,285,,
1.56,966,288,,
1.58,965,290,,
1.6,964,293,,
1.62,962,298,,
1.64,962,300,,
1.66,961,303,,
1.68,960,306,,
1.7,959,308,,
1.72,957,314,,
1.74,956,316,,
1.76,955,319,,
1.78,954,322,,
1.8,953,325,,
1.82,951,330,,
1.84,950,333,,
1.86,949,336,,
1.88,948,339,,
1.9,947,342,,
1.92,946,345,,
1.94,944,351,,
1.96,943,354,,
1.98,942,357,,
2,941,360,,
2.02,940,364,,
2.04,938,370,,
2.06,937,373,,
2.08,935,376,,
2.1,934,380,,
2.12,933,383,,
2.14,931,390,,
2.16,930,393,,
2.18,928,396,,
2.2,927,400,,
2.22,926,403,Box001,
2.24,928,408,,
2.26,930,415,,
2.28,929,418,,
2.3,928,422,,
2.32,927,426,,
2.34,926,429,,
2.36,923,436,,
2.38,922,440,,
2.4,921,443,,
2.42,920,447,,
2.44,919,450,,
2.46,915,458,,
2.48,912,460,Box001,
2.5,908,463,Cube,
2.52,903,465,Cube,
2.54,899,467,,
2.56,896,469,,
2.58,888,474,,
2.6,882,475,,
2.62,876,477,,
2.64,870,479,,
2.66,865,482,,
2.68,854,486,,
2.7,847,488,,
2.72,841,490,,
2.74,835,492,,
2.76,829,495,,
2.78,818,500,,
2.8,811,502,,
2.82,805,504,,
2.84,799,506,,
2.86,793,508,,
2.88,787,510,,
2.9,776,516,,
2.92,769,517,,
2.94,762,519,,
2.96,756,521,,
2.98,750,524,,
3,739,529,,
3.02,731,531,,
3.04,724,534,,
3.06,719,537,,
3.08,714,539,,
3.1,708,542,,
3.12,698,547,,
3.14,693,550,,
3.16,687,552,,
3.18,682,555,,
3.2,676,557,,
3.22,665,563,,
3.24,659,565,,
3.26,653,568,,
3.28,647,570,,
3.3,641,573,,
3.32,630,578,,
3.34,624,580,,
3.36,618,582,,
3.38,612,585,,
3.4,606,587,,
3.42,599,589,,
3.44,588,594,,
3.46,581,596,,
3.48,575,598,,
3.5,568,600,,
3.52,562,602,,
3.54,549,607,,
3.56,543,609,,
3.58,537,611,,
3.6,530,613,,
3.62,523,615,,
3.64,511,619,,
3.66,504,621,,
3.68,497,623,,
3.7,491,625,,
3.72,484,626,,
3.74,477,628,,
3.76,464,632,,
3.78,458,634,,
3.8,451,635,,
3.82,444,637,,
3.84,437,639,,
3.86,424,642,,
3.88,417,644,,
3.9,410,645,,
