sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,461,-82,,
0.02,461,-82,,
0.04,461,-82,,
0.06,461,-82,,
0.08,461,-82,,
0.09999999,461,-82,,
0.12,461,-82,,
0.14,461,-82,,
0.16,461,-81,,
0.18,461,-81,,
0.2,461,-81,,
0.22,461,-80,,
0.24,461,-80,,
0.26,460,-79,,
0.28,460,-79,,
0.3,460,-78,,
0.32,460,-78,,
0.34,460,-77,,
0.36,460,-77,,
0.38,459,-76,,
0.4,459,-75,,
0.42,459,-74,,
0.44,459,-74,,
0.46,458,-73,,
0.48,458,-71,,
0.5,458,-71,,
0.52,457,-70,,
0.54,457,-69,,
0.56,457,-68,,
0.58,456,-66,,
0.6,456,-65,,
0.62,456,-64,,
0.64,455,-63,,
0.66,455,-62,,
0.68,455,-61,,
0.7,454,-59,,
0.72,453,-58,,
0.74,453,-57,,
0.76,453,-56,,
0.78,452,-55,,
0.8,452,-52,,
0.82,451,-51,,
0.84,451,-49,,
0.86,450,-48,,
0.88,450,-47,,
0.9,449,-44,,
0.92,448,-43,,
0.94,448,-41,,
0.96,447,-40,,
0.98,447,-38,,
1,446,-36,,
1.02,445,-33,,
1.04,445,-32,,
1.06,444,-30,,
1.08,444,-28,,
1.1,443,-27,,
1.12,442,-23,,
1.14,442,-21,,
1.16,441,-20,,
1.18,440,-18,,
1.2,440,-16,,
1.22,439,-12,,
1.24,438,-10,,
1.26,437,-8,,
1.28,437,-6,,
1.3,436,-4,,
1.32,435,-2,,
1.34,434,2,,
1.36,433,4,,
1.38,433,6,,
1.4,432,9,,
1.42,431,11,,
1.44,430,15,,
1.46,429,18,,
1.48,428,20,,
1.5,427,22,,
1.52,427,25,,
1.54,425,29,,
1.56,424,32,,
1.58,423,34,,
1.6,423,37,,
1.62,422,39,,
1.64,421,42,,
1.66,419,47,,
1.68,418,50,,
1.7,418,52,,
1.72,417,55,,
1.74,416,58,,
1.76,414,63,,
1.78,413,66,,
1.8,412,69,,
1.82,411,72,,
1.84,410,75,,
1.86,409,80,,
1.88,408,83,,
1.9,407,86,,
1.92,406,89,,
