sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,504,-118,,
0.02,504,-118,,
0.04,504,-118,,
0.06,504,-118,,
0.08,504,-118,,
0.09999999,504,-118,,
0.12,504,-118,,
0.14,504,-118,,
0.16,504,-118,,
0.18,504,-117,,
0.2,504,-117,,
0.22,504,-117,,
0.24,504,-116,,
0.26,504,-116,,
0.28,503,-115,,
0.3,503,-114,,
0.32,503,-114,,
0.34,503,-113,,
0.36,503,-113,,
0.38,502,-112,,
0.4,502,-111,,
0.42,502,-110,,
0.44,502,-110,,
0.46,501,-109,,
0.48,501,-108,,
0.5,501,-107,,
0.52,500,-106,,
0.54,500,-105,,
0.56,500,-104,,
0.58,499,-103,,
0.6,499,-101,,
0.62,499,-101,,
0.64,498,-99,,
0.66,498,-98,,
0.68,497,-97,,
0.7,497,-96,,
0.72,496,-94,,
0.74,496,-93,,
0.76,496,-92,,
0.78,495,-91,,
0.8,495,-89,,
0.82,494,-87,,
0.84,493,-86,,
0.86,493,-84,,
0.88,492,-83,,
0.9,492,-81,,
0.92,491,-79,,
0.94,490,-77,,
0.96,490,-76,,
0.98,489,-74,,
1,489,-73,,
1.02,488,-71,,
1.04,487,-68,,
1.06,487,-66,,
1.08,486,-64,,
1.1,486,-63,,
1.12,485,-61,,
1.14,484,-57,,
1.16,483,-56,,
1.18,482,-54,,
1.2,482,-52,,
1.22,481,-50,,
1.24,480,-46,,
1.26,479,-44,,
1.28,478,-42,,
1.3,478,-40,,
1.32,477,-38,,
1.34,476,-36,,
1.36,475,-32,,
1.38,474,-29,,
1.4,473,-27,,
1.42,473,-25,,
1.44,472,-23,,
1.46,470,-18,,
1.48,470,-16,,
1.5,469,-14,,
1.52,468,-11,,
1.54,467,-9,,
1.56,465,-4,,
1.58,465,-2,,
1.6,464,1,,
1.62,463,3,,
1.64,462,6,,
1.66,461,9,,
1.68,459,14,,
1.7,458,17,,
1.72,457,19,,
1.74,457,22,,
1.76,456,25,,
1.78,454,30,,
1.8,453,33,,
1.82,452,36,,
1.84,451,39,,
1.86,450,42,,
1.88,448,47,,
1.9,447,50,,
1.92,446,54,,
1.94,445,56,,
1.96,444,60,,
1.98,443,63,,
2,440,69,,
2.02,439,72,,
2.04,438,75,,
2.06,437,78,,
2.08,436,82,,
2.1,434,88,,
2.12,433,91,,
2.14,431,95,,
2.16,430,98,,
2.18,429,102,,
2.2,428,105,,
2.22,426,112,,
2.24,429,117,Wall_273_176,
2.26,430,120,,
2.28,429,124,,
2.3,428,127,,
2.32,426,134,,
2.34,425,138,,
2.36,424,141,,
2.38,422,145,,
2.4,421,148,,
2.42,418,155,,
2.44,416,159,,
2.46,414,162,,
2.48,413,166,,
2.5,409,168,Wall_559_113,
2.52,405,171,Wall_499_207,
2.54,398,176,Wall_499_207,
2.56,391,177,,
2.58,386,179,,
2.6,382,181,,
2.62,377,183,,
2.64,368,188,,
2.66,362,189,,
2.68,356,192,,
2.7,350,194,,
2.72,345,196,,
2.74,333,201,,
2.76,327,203,,
2.78,321,205,,
2.8,315,207,,
2.82,309,209,,
2.84,303,211,,
2.86,291,216,,
2.88,285,218,,
2.9,278,220,,
2.92,272,223,,
2.94,266,225,,
2.96,255,230,,
2.98,247,232,,
3,241,234,,
3.02,235,236,,
3.04,229,239,,
3.06,219,245,,
3.08,213,248,,
3.1,208,251,,
3.12,203,253,,
3.14,198,256,,
3.16,188,262,,
3.18,182,264,,
3.2,177,267,,
3.22,171,270,,
3.24,166,272,,
3.26,160,275,,
3.28,149,280,,
3.3,143,283,,
3.32,137,285,,
3.34,132,288,,
3.36,126,290,,
3.38,114,296,,
3.4,108,298,,
3.42,102,300,,
3.44,96,303,,
3.46,90,305,,
3.48,84,307,,
3.5,72,312,,
3.52,66,314,,
3.54,60,316,,
3.56,53,319,,
3.58,47,321,,
3.6,34,326,,
3.62,28,328,,
3.64,22,330,,
3.66,15,332,,
3.68,9,334,,
3.7,-4,338,,
3.72,-10,340,,
3.74,-17,342,,
3.76,-23,344,,
3.78,-30,346,,
3.8,-37,347,,
3.82,-49,351,,
3.84,-56,353,,
3.86,-63,355,,
3.88,-69,356,,
3.9,-76,358,,
3.92,-88,362,,
3.94,-95,363,,
3.96,-102,365,,
3.98,-108,366,,
4,-115,368,,
4.02,-128,371,,
4.04,-135,373,,
4.06,-141,374,,
4.08,-148,375,,
