sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,1021,451,,
0.02,988,451,,
0.04,988,451,,
0.06,988,451,,
0.08,988,451,,
0.09999999,988,451,,
0.12,988,451,,
0.14,988,451,,
0.16,988,451,,
0.18,987,452,,
0.2,987,452,,
0.22,987,452,,
0.24,986,453,,
0.26,986,453,,
0.28,985,454,,
0.3,985,454,,
0.32,984,455,,
0.34,984,455,,
0.36,983,456,,
0.38,983,456,,
0.4,981,457,,
0.42,981,458,,
0.44,980,459,,
0.46,979,459,,
0.48,979,460,,
0.5,977,461,,
0.52,976,462,,
0.54,975,463,,
0.56,975,464,,
0.58,974,465,,
0.6,973,466,,
0.62,971,467,,
0.64,970,468,,
0.66,969,469,,
0.68,968,470,,
0.7,967,471,,
0.72,965,473,,
0.74,964,474,,
0.76,962,476,,
0.78,961,477,,
0.8,960,478,,
0.82,957,480,,
0.84,956,481,,
0.86,955,483,,
0.88,954,484,,
0.9,952,485,,
0.92,949,488,,
0.94,948,489,,
0.96,946,491,,
0.98,945,492,,
1,943,494,,
1.02,942,495,,
1.04,939,498,,
1.06,937,500,,
1.08,935,501,,
1.1,934,503,,
1.12,932,505,,
1.14,929,508,,
1.16,927,510,,
1.18,925,511,,
1.2,923,513,,
1.22,921,515,,
1.24,917,518,,
1.26,915,520,,
1.28,914,522,,
1.3,912,524,,
1.32,909,526,,
1.34,907,528,,
1.36,903,532,,
1.38,901,534,,
1.4,899,536,,
1.42,897,538,,
1.44,895,540,,
1.46,890,544,,
1.48,888,547,,
1.5,885,549,,
1.52,883,551,,
1.54,881,553,,
1.56,876,558,,
1.58,874,560,,
1.6,871,563,,
1.62,869,565,,
1.64,866,567,,
1.66,864,570,,
1.68,858,575,,
1.7,856,577,,
1.72,853,580,,
1.74,851,582,,
1.76,848,585,,
1.78,842,590,,
1.8,840,593,,
1.82,837,595,,
1.84,834,598,,
1.86,831,601,,
1.88,825,606,,
1.9,822,609,,
1.92,819,611,,
1.94,815,614,,
1.96,812,617,,
1.98,809,620,,
2,802,625,,
2.02,798,628,,
2.04,794,631,,
2.06,790,634,,
2.08,787,636,,
2.1,780,642,Wall_682_650,
2.12,782,644,,
2.14,782,646,,
2.16,782,649,,
2.18,781,651,,
2.2,781,653,,
2.22,775,658,,
2.24,777,661,,
2.26,777,663,,
2.28,777,666,,
2.3,775,667,,
2.32,766,671,,
2.34,766,671,,
2.36,767,670,,
2.38,767,670,,
2.4,767,670,,
2.42,761,673,,
2.44,763,672,,
2.46,765,671,,
2.48,765,671,,
2.5,766,671,,
2.52,766,671,,
2.54,760,673,,
2.56,762,672,,
2.58,764,672,,
2.6,765,671,,
2.62,766,671,,
2.64,759,673,,
2.66,762,672,,
2.68,763,672,,
2.7,764,671,,
2.72,765,671,,
2.74,758,674,,
2.76,761,673,,
2.78,763,672,,
2.8,764,672,,
2.82,765,671,,
2.84,765,671,,
2.86,758,674,,
2.88,761,673,,
2.9,762,672,,
2.92,763,672,,
2.94,764,671,,
2.96,757,674,,
2.98,760,673,,
3,762,672,,
3.02,763,672,,
3.04,763,671,,
3.06,756,674,,
3.08,759,673,,
3.1,761,672,,
3.12,762,672,,
3.14,763,671,,
3.16,763,671,,
3.18,755,674,,
3.2,759,673,,
3.22,761,672,,
3.24,762,672,,
3.26,762,671,,
3.28,754,674,,
3.3,758,673,,
3.32,760,672,,
3.34,761,672,,
3.36,762,671,,
3.38,753,674,,
3.4,758,673,,
3.42,760,672,,
3.44,761,672,,
3.46,761,671,,
3.48,762,671,,
3.5,752,674,,
3.52,757,673,,
3.54,759,672,,
3.56,760,672,,
3.58,761,671,,
3.6,751,674,,
3.62,756,673,,
3.64,759,672,,
3.66,760,672,,
3.68,760,671,,
3.7,761,671,,
3.72,750,673,,
3.74,756,673,,
3.76,758,672,,
3.78,759,672,,
3.8,760,671,,
3.82,749,674,,
3.84,756,673,,
3.86,757,672,,
3.88,759,672,,
3.9,759,671,,
3.92,748,674,,
3.94,737,676,,
3.96,719,686,Wall_682_713,
3.98,708,690,,
4,696,693,,
4.02,684,695,,
4.04,661,699,,
4.06,648,702,,
4.08,637,704,,
4.1,625,706,,
4.12,613,708,,
4.14,562,712,Wall_516_713,
4.16,551,714,,
4.18,538,716,,
4.2,525,718,,
4.22,514,720,,
4.24,489,724,,
4.26,476,726,,
4.28,464,728,,
4.3,452,730,,
4.32,440,732,,
4.34,406,733,,
4.36,380,737,,
4.38,367,739,,
4.4,355,741,,
4.42,343,743,,
4.44,330,745,,
4.46,305,748,,
4.48,292,750,,
