sep=,
Time,x-Position,y-Position,SplitTimes,Collision
6.24,86,664,,
6.26,86,662,,
6.28,86,660,,
6.3,86,659,,
6.32,86,657,,
6.34,86,656,,
6.36,86,653,,
6.38,86,652,,
6.4,86,651,,
6.42,86,649,,
6.44,86,648,,
6.46,86,646,,
6.48,86,643,,
6.5,86,642,,
6.52,86,640,,
6.54,86,639,,
6.56,86,637,,
6.58,87,634,,
6.6,87,633,,
6.62,87,631,,
6.64,87,629,,
6.66,87,628,,
6.68,88,625,,
6.7,88,623,,
6.72,89,622,,
6.74,89,620,,
6.76,90,618,,
6.78,90,617,,
6.8,93,614,,
6.82,93,612,,
6.84,94,610,,
6.86,95,609,,
6.88,96,607,,
6.9,99,604,,
6.92,100,602,,
6.94,102,601,,
6.96,104,601,Wall_250_584,
6.98,107,600,,
7,112,599,,
7.02,115,600,,
7.04,118,601,,
7.06,121,601,,
7.08,123,601,,
7.1,126,601,,
7.12,132,600,,
7.14,135,601,,
7.16,138,601,,
7.18,141,601,,
7.2,144,601,,
7.22,151,600,,
7.24,154,601,,
7.26,157,601,,
7.28,160,601,,
7.3,163,601,,
7.32,170,600,,
7.34,173,601,,
7.36,177,601,,
7.38,180,601,,
7.4,184,601,,
7.42,188,601,,
7.44,195,600,,
7.46,199,601,,
7.48,203,601,,
7.5,206,601,,
7.52,210,601,,
7.54,219,600,,
7.56,222,600,,
7.58,227,601,,
7.6,231,601,,
7.62,235,601,,
7.64,244,599,,
7.66,249,600,,
7.68,254,599,,
7.7,259,599,,
7.72,263,598,,
7.74,268,597,,
7.76,278,595,,
7.78,283,594,,
7.8,287,593,,
7.82,292,592,,
7.84,297,591,,
7.86,306,589,,
7.88,310,588,,
7.9,315,587,,
7.92,319,586,,
7.94,323,585,,
7.96,332,582,,
7.98,336,581,,
8,340,580,,
8.02,344,579,,
8.04,348,578,,
8.059999,352,577,,
8.08,360,574,,
8.099999,363,573,,
8.12,367,572,,
8.139999,370,570,,
8.16,374,569,,
8.179999,381,566,,
8.2,384,565,,
8.22,387,564,,
8.24,391,563,,
8.26,394,561,,
8.28,400,559,,
8.3,402,557,,
8.32,405,556,,
8.34,408,555,,
8.36,410,554,,
8.38,413,552,,
8.4,418,549,,
8.42,421,548,,
8.44,423,547,,
8.46,425,546,,
8.48,427,544,,
8.5,432,542,,
8.52,433,540,,
8.54,435,539,,
8.559999,437,538,Wall_500_500,
8.58,439,537,Wall_500_500,
8.599999,444,535,,
8.62,447,536,,
8.639999,450,536,,
8.66,453,536,,
8.679999,455,536,,
8.7,458,536,,
8.72,462,535,,
8.74,464,535,,
8.76,465,535,,
8.78,467,535,,
8.8,468,535,,
8.82,471,535,,
8.84,472,535,,
8.86,474,535,,
8.88,475,535,,
8.9,476,535,,
8.92,477,535,,
8.94,478,535,,
8.96,479,535,,
8.98,480,535,,
9,480,535,,
9.02,480,535,,
9.04,481,535,,
9.059999,481,535,,
9.08,481,535,,
9.099999,480,535,,
9.12,480,535,,
9.139999,479,535,,
9.16,479,535,,
9.179999,477,535,,
9.2,476,535,,
9.22,475,535,,
9.24,474,535,,
9.26,473,535,,
9.28,470,535,,
9.3,469,535,,
9.32,467,535,,
9.34,466,535,,
9.36,464,535,,
9.38,462,535,,
9.4,459,535,,
9.42,457,535,,
9.44,455,535,,
9.46,453,535,,
9.48,451,536,,
9.5,446,535,,
9.52,444,535,,
9.54,441,536,,
9.559999,439,536,,
9.58,436,535,,
9.599999,431,535,,
9.62,430,535,Wall_393_468,
9.639999,426,536,,
9.66,423,536,,
9.679999,420,536,,
9.7,417,536,,
9.719999,411,535,,
9.74,408,535,,
9.76,404,536,,
9.78,399,535,,
9.8,394,536,,
9.82,387,535,,
9.84,383,536,,
9.86,379,536,,
9.88,375,536,,
9.9,371,536,,
9.92,363,534,,
9.94,359,535,,
9.96,355,536,,
9.98,351,536,,
10,346,536,,
10.02,342,536,,
10.04,334,535,,
10.06,329,535,,
10.08,324,536,,
10.1,319,536,,
10.12,315,536,,
10.14,305,535,,
10.16,300,536,,
10.18,295,536,,
10.2,290,536,,
10.22,285,536,,
10.24,275,535,,
10.26,269,535,,
10.28,264,536,,
10.3,258,536,,
10.32,253,536,,
10.34,247,536,,
10.36,236,534,,
10.38,230,534,,
10.4,224,533,,
10.42,219,532,,
10.44,213,532,,
10.46,203,530,,
10.48,198,529,,
10.5,192,528,,
10.52,187,527,,
10.54,182,527,,
10.56,172,524,,
10.58,167,524,,
10.6,162,523,,
10.62,157,522,,
10.64,153,521,,
10.66,148,520,,
10.68,139,518,,
10.7,135,517,Wall_106_531,
10.72,134,517,,
10.74,134,517,,
10.76,134,517,,
10.78,134,516,,
10.8,135,516,,
10.82,136,516,,
10.84,136,516,,
10.86,136,516,,
10.88,137,515,,
10.9,138,515,,
10.92,139,515,,
10.94,140,515,,
10.96,141,514,,
10.98,142,514,,
11,142,513,,
11.02,145,513,,
11.04,146,513,,
11.06,147,512,,
11.08,148,512,,
11.1,149,511,,
11.12,152,510,,
11.14,153,510,,
11.16,155,509,,
11.18,156,509,,
11.2,158,508,,
11.22,159,507,,
11.24,162,507,,
11.26,164,506,,
11.28,166,505,,
11.3,168,505,,
11.32,170,503,,
11.34,173,503,,
11.36,175,502,,
11.38,177,501,,
11.4,179,500,,
11.42,183,499,,
11.44,186,498,,
11.46,188,497,,
11.48,191,496,,
11.5,193,495,,
11.52,196,493,,
11.54,200,493,,
11.56,203,491,,
11.58,206,490,,
11.6,209,489,,
11.62,212,488,,
11.64,215,487,,
11.66,217,486,,
11.68,221,484,,
11.7,226,483,,
11.72,229,482,,
11.74,232,481,,
11.76,235,480,,
11.78,239,477,,
11.8,244,476,Wall_166_437,
11.82,248,475,Wall_166_437,
11.84,251,474,,
11.86,255,473,,
11.88,261,469,,
11.9,266,468,,
11.92,271,466,,
11.94,273,464,,
11.96,275,462,,
11.98,276,460,,
12,277,455,,
12.02,278,453,,
12.04,279,451,,
12.06,281,448,,
12.08,282,446,,
12.1,283,441,,
12.12,284,439,,
12.14,285,436,,
12.16,286,434,,
12.18,287,431,,
12.2,288,426,,
12.22,289,423,,
12.24,290,421,,
12.26,291,418,,
12.28,292,415,,
12.3,293,413,,
12.32,294,407,,
12.34,295,404,,
12.36,296,401,,
12.38,297,399,,
12.4,298,396,,
12.42,299,390,,
12.44,300,387,,
12.46,300,384,,
12.48,301,381,,
12.5,302,378,,
12.52,303,371,,
12.54,303,369,,
12.56,304,365,,
12.58,305,362,,
12.6,305,359,,
12.62,306,356,,
12.64,307,349,,
12.66,307,346,,
12.68,308,343,,
12.7,308,339,,
12.72,309,336,,
12.74,309,329,,
12.76,309,326,,
12.78,310,322,,
12.8,310,319,,
12.82,310,315,,
12.84,310,308,,
12.86,310,305,,
12.88,311,301,,
12.9,311,297,,
12.92,311,294,,
12.94,311,290,,
12.96,310,283,,
12.98,310,279,,
13,310,275,,
13.02,310,271,,
13.04,310,268,,
13.06,309,260,,
13.08,309,256,,
13.1,309,252,,
13.12,308,248,,
13.14,308,244,,
13.16,307,240,,
13.18,306,232,,
13.2,305,228,,
13.22,304,224,,
13.24,304,220,,
13.26,303,216,,
13.28,300,208,,
13.3,299,204,,
13.32,298,200,,
13.34,297,196,,
13.36,296,192,,
13.38,293,183,,
13.4,291,179,,
13.42,290,175,,
13.44,288,171,,
13.46,287,167,,
13.48,285,163,,
13.5,281,160,Wall_417_147,
13.52,277,160,Wall_417_147,
13.54,274,160,,
13.56,271,160,,
13.58,267,160,,
13.6,261,160,,
13.62,258,160,,
13.64,254,160,,
13.66,251,160,,
13.68,244,159,,
13.7,237,153,,
13.72,230,149,,
13.74,227,145,,
13.76,224,141,,
13.78,221,137,,
13.8,215,129,,
13.82,212,125,,
13.84,209,121,,
13.86,207,116,,
13.88,204,112,,
13.9,202,108,,
13.92,197,100,,
13.94,194,96,,
13.96,192,92,,
13.98,190,88,,
14,188,84,,
14.02,183,75,,
14.04,181,71,,
14.06,180,68,,
14.08,178,64,,
14.1,176,60,,
14.12,174,56,,
14.14,170,48,,
14.16,169,44,,
14.18,167,40,,
14.2,165,36,,
14.22,164,33,,
14.24,161,25,,
14.26,159,21,,
14.28,158,18,,
14.3,156,14,,
14.32,155,10,,
14.34,152,3,,
14.36,151,-1,,
14.38,150,-4,,
14.4,149,-8,,
14.42,148,-11,,
14.44,146,-15,,
14.46,144,-22,,
14.48,143,-25,,
14.5,142,-29,,
14.52,141,-32,,
14.54,140,-35,,
14.56,139,-42,,
14.58,138,-45,,
14.6,137,-49,,
14.62,136,-52,,
14.64,135,-55,,
14.66,134,-62,,
14.68,133,-65,,
14.7,133,-68,,
14.72,132,-71,,
14.74,131,-74,,
14.76,131,-77,,
14.78,130,-83,,
14.8,129,-86,,
14.82,129,-89,,
14.84,128,-92,,
14.86,128,-95,,
14.88,127,-101,,
14.9,127,-103,,
14.92,127,-106,,
14.94,126,-109,,
14.96,126,-111,,
14.98,126,-114,,
15,125,-120,,
15.02,125,-122,,
15.04,125,-125,,
15.06,125,-127,,
15.08,125,-130,,
15.1,124,-135,,
15.12,124,-138,,
15.14,124,-140,,
15.16,124,-142,,
15.18,124,-145,,
15.2,124,-150,,
15.22,124,-152,,
15.24,124,-154,,
15.26,125,-157,,
15.28,125,-159,,
15.3,125,-163,,
15.32,125,-166,,
15.34,125,-168,,
15.36,125,-170,,
15.38,126,-172,,
15.4,126,-174,,
15.42,126,-178,,
15.44,127,-180,,
15.46,127,-182,,
15.48,127,-184,,
15.5,128,-186,,
15.52,128,-190,,
15.54,129,-192,,
15.56,129,-193,,
15.58,130,-195,,
15.6,130,-197,,
15.62,131,-199,,
15.64,132,-202,,
15.66,132,-204,,
15.68,133,-205,,
15.7,133,-207,,
15.72,134,-209,,
15.74,135,-212,,
15.76,135,-213,,
15.78,136,-215,,
15.8,137,-216,,
15.82,137,-218,,
15.84,139,-220,,
15.86,139,-222,,
15.88,140,-223,,
15.9,141,-224,,
15.92,141,-226,,
15.94,143,-228,,
15.96,144,-229,,
15.98,144,-231,,
16,145,-232,,
16.02,146,-233,,
16.04,147,-234,,
16.06,149,-236,,
