sep=,
Time,x-Position,y-Position,Collisionx,Collisiony
0,947,387,0,0
0.02,947,387,0,0
0.04,947,387,0,0
0.06,947,387,0,0
0.08,947,387,0,0
0.09999999,947,387,0,0
0.12,947,387,0,0
0.14,947,387,0,0
0.16,947,387,0,0
0.18,947,387,0,0
0.2,946,387,0,0
0.22,946,387,0,0
0.24,945,388,0,0
0.26,945,388,0,0
0.28,945,388,0,0
0.3,945,388,0,0
0.32,944,389,0,0
0.34,944,389,0,0
0.36,943,390,0,0
0.38,943,390,0,0
0.4,942,390,0,0
0.42,942,391,0,0
0.44,941,392,0,0
0.46,941,392,0,0
0.48,940,393,0,0
0.5,940,393,0,0
0.52,939,394,0,0
0.54,938,395,0,0
0.56,938,395,0,0
0.58,937,396,0,0
0.6,936,396,0,0
0.62,935,398,0,0
0.64,935,398,0,0
0.66,934,399,0,0
0.68,933,399,0,0
0.7,933,400,0,0
0.72,931,401,0,0
0.74,930,402,0,0
0.76,930,403,0,0
0.78,929,404,0,0
0.8,928,404,0,0
0.82,926,406,0,0
0.84,926,407,0,0
0.86,925,408,0,0
0.88,924,409,0,0
0.9,923,409,0,0
0.92,921,411,0,0
0.94,920,412,0,0
0.96,919,413,0,0
0.98,918,414,0,0
1,917,415,0,0
1.02,915,417,0,0
1.04,914,418,0,0
1.06,913,419,0,0
1.08,912,420,0,0
1.1,910,422,0,0
1.12,909,423,0,0
1.14,908,424,0,0
1.16,906,426,0,0
1.18,905,427,0,0
1.2,903,429,0,0
1.22,902,430,0,0
1.24,900,431,0,0
1.26,899,433,0,0
1.28,898,434,0,0
1.3,895,436,0,0
1.32,894,438,0,0
1.34,893,439,0,0
1.36,891,440,0,0
1.38,890,442,0,0
1.4,887,444,0,0
1.42,886,446,0,0
1.44,884,447,0,0
1.46,883,449,0,0
1.48,881,450,0,0
1.5,878,453,0,0
1.52,877,454,0,0
1.54,875,456,0,0
1.56,874,457,0,0
1.58,872,459,0,0
1.6,869,462,0,0
1.62,867,464,0,0
1.64,866,465,0,0
1.66,864,467,0,0
1.68,861,470,0,0
1.7,859,472,0,0
1.72,857,473,0,0
1.74,856,475,0,0
1.76,854,477,0,0
1.78,850,480,0,0
1.8,849,482,0,0
1.82,847,484,0,0
1.84,845,486,0,0
1.86,843,487,0,0
1.88,839,491,0,0
1.9,838,493,0,0
1.92,836,495,0,0
1.94,834,497,0,0
1.96,832,499,0,0
1.98,828,503,0,0
2,826,505,0,0
2.02,824,506,0,0
2.04,822,508,0,0
2.06,820,510,0,0
2.08,816,514,0,0
2.1,814,517,0,0
2.12,812,519,0,0
2.14,810,521,0,0
2.16,807,523,0,0
2.18,803,527,0,0
2.2,801,529,0,0
2.22,799,531,0,0
2.24,797,533,0,0
2.26,793,537,0,0
2.28,791,539,0,0
2.3,789,541,0,0
2.32,787,543,0,0
2.34,785,545,0,0
2.36,781,549,0,0
2.38,779,551,0,0
2.4,777,553,0,0
2.42,775,555,0,0
2.44,773,557,0,0
2.46,769,561,0,0
2.48,767,563,0,0
2.5,765,565,0,0
2.52,763,567,0,0
2.54,760,569,0,0
2.56,756,573,0,0
2.58,754,575,0,0
2.6,752,577,0,0
2.62,750,579,0,0
2.64,748,581,0,0
2.66,744,585,0,0
2.68,742,587,0,0
2.7,740,589,0,0
2.72,738,591,0,0
